Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AS-30HR4FA,JET-AIR,Non Ducted,Single Split System,,3.3,0
AS09HR4FD,JET-AIR,Non Ducted,Single Split System,,0.88,0
AS09HR4FD,JET-AIR,Non Ducted,Single Split System,,0.88,0
AS12HR4FD,JET-AIR,Non Ducted,Single Split System,,1.27,0
AS12HR4FD,JET-AIR,Non Ducted,Single Split System,,1.27,0
AS18HR4FD,JET-AIR,Non Ducted,Single Split System,,1.95,0
AS18HR4FD,JET-AIR,Non Ducted,Single Split System,,1.95,0
AS22HR4FD,JET-AIR,Non Ducted,Single Split System,,2.3,0
AS22HR4FD,JET-AIR,Non Ducted,Single Split System,,2.3,0
AS24HR4FD,JET-AIR,Non Ducted,Single Split System,,2.75,0
