Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AS-07HR4FD,KELON,Non Ducted,Single Split System,,0.73,0
AS-07HR4FM,KELON,Non Ducted,Single Split System,,0.73,0
AS-07HR4FV,KELON,Non Ducted,Single Split System,,0.73,0
AS-09HR4FD,KELON,Non Ducted,Single Split System,,0.88,0
AS-09HR4FM,KELON,Non Ducted,Single Split System,,0.88,0
AS-09HR4FV,KELON,Non Ducted,Single Split System,,0.88,0
AS-12HR4FD,KELON,Non Ducted,Single Split System,,1.27,0
AS-12HR4FM,KELON,Non Ducted,Single Split System,,1.27,0
AS-12HR4FV,KELON,Non Ducted,Single Split System,,1.27,0
AS-12VR4FD,KELON,Non Ducted,Single Split System,,1.3,0
AS-12VR4FM,KELON,Non Ducted,Single Split System,,1.3,0
AS-12VR4FV,KELON,Non Ducted,Single Split System,,1.3,0
AS-18HR4FD,KELON,Non Ducted,Single Split System,,1.95,0
AS-18HR4FM,KELON,Non Ducted,Single Split System,,1.95,0
AS-18HR4FV,KELON,Non Ducted,Single Split System,,1.95,0
AS-24CR4FQJUB,KELON,Non Ducted,Single Split System,Wall Hung,2.3,0
AS-24CR4FQJUC,KELON,Non Ducted,Single Split System,Wall Hung,2.3,0
AS-24CR4FQJUG,KELON,Non Ducted,Single Split System,Wall Hung,2.3,0
AS-24CR4FQJUH,KELON,Non Ducted,Single Split System,Wall Hung,2.3,0
AS-24CR4FQJUK,KELON,Non Ducted,Single Split System,Wall Hung,2.3,0
AS-24CR4FQJUM,KELON,Non Ducted,Single Split System,Wall Hung,2.3,0
AS-24HR4FD,KELON,Non Ducted,Single Split System,,2.75,0
AS-24HR4FM,KELON,Non Ducted,Single Split System,,2.75,0
AS-24HR4FV,KELON,Non Ducted,Single Split System,,2.75,0
AS-24VR4FD,KELON,Non Ducted,Single Split System,Wall Hung,2.55,0
AS-24VR4FU,KELON,Non Ducted,Single Split System,Wall Hung,2.55,0
AS-24VR4FUB,KELON,Non Ducted,Single Split System,Wall Hung,2.55,0
AS-24VR4FUC,KELON,Non Ducted,Single Split System,Wall Hung,2.55,0
AS-24VR4FUH,KELON,Non Ducted,Single Split System,Wall Hung,2.55,0
AS-30CR4FLKRA,KELON,Non Ducted,Single Split System,Wall Hung,2.7,0
AW-05CM4FD,KELON,Non Ducted,Window Wall,,0.535,0
AW-05CM4FM,KELON,Non Ducted,Window Wall,,0.535,0
AW-07CM4FE2,KELON,Non Ducted,Window Wall,,0.765,0
AW-07CM4FE2,KELON,Non Ducted,Window Wall,,0.765,0
AW-09CM4FE2,KELON,Non Ducted,Window Wall,,0.96,0
AW-09CM4FE2,KELON,Non Ducted,Window Wall,,0.96,0
AW-12CM4FD2,KELON,Non Ducted,Window Wall,,1.3,0
AW-12CM4FD2,KELON,Non Ducted,Window Wall,,1.3,0
AW-18CM4FD,KELON,Non Ducted,Window Wall,,2.1,0
AW-18CM4FD,KELON,Non Ducted,Window Wall,,2.1,0
