Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KC25WR,KELVINATOR,Non Ducted,Window Wall,,2.41,0
KR08WR,KELVINATOR,Non Ducted,Window Wall,,0.75,0
KSC15G,KELVINATOR,Non Ducted,Single Split System,,1.33,0
KSC27G,KELVINATOR,Non Ducted,Single Split System,,2.82,0
KSC35F,KELVINATOR,Non Ducted,Single Split System,,3.2,0
KSE26CRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.75,1.5
KSE26HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.75,3
KSE35CRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.91,1.25
KSE35HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.91,2.75
KSE53HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.57,2
KSE62HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.85,2
KSE70CRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.19,1
KSE70HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.18,2
KSE88CRB,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.75,0.75
KSE88HRB,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.7,1.5
KSE88HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.35,2
KSE88HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.35,1
KSR10G,KELVINATOR,Non Ducted,Single Split System,,0.95,0
KSR15G,KELVINATOR,Non Ducted,Single Split System,,1.34,0
KSR20G,KELVINATOR,Non Ducted,Single Split System,,1.9,0
KSR24G,KELVINATOR,Non Ducted,Single Split System,,2.746,0
KSR27IG,KELVINATOR,Non Ducted,Single Split System,,2.614,0
KSR35F,KELVINATOR,Non Ducted,Single Split System,,3.28,0
KSR35F,KELVINATOR,Non Ducted,Single Split System,,3.2,0
KSV26CRB,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.73,1.25
KSV26CRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.65,1.75
KSV26CRC,Kelvinator,Non Ducted,Single Split System,Wall Hung,0.65,1.75
KSV26CRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.65,1.75
KSV26CRE,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.72,1.25
KSV26HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.65,3.5
KSV26HRC,Kelvinator,Non Ducted,Single Split System,Wall Hung,0.65,3.5
KSV26HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.65,3.5
KSV26HRE,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.72,2.75
KSV26NRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.5,5
KSV35CRB,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.98,1.25
KSV35CRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.91,1.5
KSV35CRE,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.96,1.25
KSV35HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.9,3
KSV35HRE,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.96,2.5
KSV35NRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.86,3.5
KSV53HRC,Kelvinator,Non Ducted,Single Split System,Wall Hung,1.45,2.5
KSV53HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.45,2.5
KSV53HRE,KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.64,1.5
KSV62HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.71,2.5
KSV62HRE,KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.93,1.5
KSV70CRB,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.18,0.75
KSV70CRC,Kelvinator,Non Ducted,Single Split System,Wall Hung,2,1.25
KSV70CRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2,1.25
KSV70CRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2,1.25
KSV70CRE,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.2,0.75
KSV70HRC,Kelvinator,Non Ducted,Single Split System,Wall Hung,1.98,2.5
KSV70HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.98,2.5
KSV70HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.98,2.5
KSV70HRE,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.2,1.5
KSV70NRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.98,2.5
KSV80HRC,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.3,2
KSV80HRE,KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.45,1.5
KWH15CMC,KELVINATOR,Non Ducted,Window Wall,,0.51,0.75
KWH15CME,KELVINATOR,Non Ducted,Window Wall,,0.485,1
KWH20CRC,KELVINATOR,Non Ducted,Window Wall,,0.67,1
KWH20CRE,KELVINATOR,Non Ducted,Window Wall,,0.66,1
KWH20HRC,KELVINATOR,Non Ducted,Window Wall,,0.67,2
KWH20HRE,KELVINATOR,Non Ducted,Window Wall,,0.66,2
KWH26CRC,KELVINATOR,Non Ducted,Window Wall,Wall Hung,0.82,1
KWH26CRE,KELVINATOR,Non Ducted,Window Wall,,0.81,1
KWH26HRC,KELVINATOR,Non Ducted,Window Wall,Wall Hung,0.83,2
KWH26HRE,KELVINATOR,Non Ducted,Window Wall,,0.81,2
KWH39CRC,KELVINATOR,Non Ducted,Window Wall,,1.19,1
KWH39CRE,KELVINATOR,Non Ducted,Window Wall,,1.18,1
KWH39HRC,KELVINATOR,Non Ducted,Window Wall,,1.19,2
KWH39HRE,KELVINATOR,Non Ducted,Window Wall,,1.18,2
KWH53CRE,KELVINATOR,Non Ducted,Window Wall,,1.6,1
KWH53HRC,KELVINATOR,Non Ducted,Window Wall,,1.62,1
KWH53HRC,KELVINATOR,Non Ducted,Window Wall,,1.62,2
KWH53HRE,KELVINATOR,Non Ducted,Window Wall,,1.6,2
KWH62CRC,KELVINATOR,Non Ducted,Window Wall,,1.83,1
KWH62CRE,KELVINATOR,Non Ducted,Window Wall,,1.81,1
KWH62HRC,KELVINATOR,Non Ducted,Window Wall,,1.83,1.75
KWH62HRE,KELVINATOR,Non Ducted,Window Wall,,1.81,2
