Model No,Brand,Control,Prog Name,Type,New CEC,New Star
K-ASW-0952,KRIESLER,Non Ducted,Single Split System,,0.94,0
K-ASW-09J,KRIESLER,Non Ducted,Single Split System,,0.89,0
K-ASW-09K,KRIESLER,Non Ducted,Single Split System,Wall Hung,0.79,0
K-ASW-12J,KRIESLER,Non Ducted,Single Split System,,1.25,0
K-ASW-12K,KRIESLER,Non Ducted,Single Split System,,1.13,0
K-ASW-18J,KRIESLER,Non Ducted,Single Split System,,1.85,0
K-ASW-18K,KRIESLER,Non Ducted,Single Split System,Wall Hung,1.785,0
K-ASW-24J,KRIESLER,Non Ducted,Single Split System,,2.59,0
K-ASW-24K,KRIESLER,Non Ducted,Single Split System,,2.46,0
K-ASW-942,KRIESLER,Non Ducted,Single Split System,,0.94,0
K-ASW-H09A4/HSA,KRIESLER,Non Ducted,Single Split System,,0.94,0
K-ASW-H12A4/HSA,KRIESLER,Non Ducted,Single Split System,,1.28,0
K-ASW-H18A4/HSA,KRIESLER,Non Ducted,Window Wall,,1.95,0
K-ASW-H24B4/HSA,KRIESLER,Non Ducted,Single Split System,,2.72,0
