Model No,Brand,Control,Prog Name,Type,New CEC,New Star
A12AW2 NF6 / A12AWU UF6,LG,Non Ducted,Single Split System,Wall Hung,1.1,0
ABNW366KSA1/ABUW366KSA1,LG,Ducted,Single Split System,Under ceiling,4.1,0
ABNW366KSA3/ABUW366KSA3,LG,Ducted,Single Split System,Under ceiling,3.87,0
ABNW426KSA0/ABUW426KSA0,LG,Ducted,Single Split System,,4.9,0
ABNW426KSA1/ABUW426KSA1,LG,Ducted,Single Split System,Under ceiling,4.7,0
ABNW606LTA1/ABUW606LTA1,LG,Ducted,Single Split System,Under ceiling,6.8,0
ARNU12GBGA2/ARUB080LTE4,LG,Ducted,Multiple split - VRF,,5.6,0
ARNU12GBGA2/ARUB100LTE4,LG,Ducted,Multiple split - VRF,,7.2,0
ARNU12GBGA2/ARUB120LTE4,LG,Ducted,Multiple split - VRF,,9,0
ARNU12GBGA2/ARUB140LTE4,LG,Ducted,Multiple split - VRF,,10.3,0
ARNU12GBGA2/ARUB160LTE4,LG,Ducted,Multiple split - VRF,,12.4,0
ARNU12GBGA2/ARUB180LTE4,LG,Ducted,Multiple split - VRF,,12.1,0
ARNU12GBGA2/ARUB200LTE4,LG,Ducted,Multiple split - VRF,,13.9,0
ARNU12GBGA2/ARUN080LTE4,LG,Ducted,Multiple split - VRF,,5.6,0
ARNU12GBGA2/ARUN100LTE4,LG,Ducted,Multiple split - VRF,,7.2,0
ARNU12GBGA2/ARUN120LTE4,LG,Ducted,Multiple split - VRF,,9,0
ARNU12GBGA2/ARUN140LTE4,LG,Ducted,Multiple split - VRF,,10.3,0
ARNU12GBGA2/ARUN160LTE4,LG,Ducted,Multiple split - VRF,,12.4,0
ARNU12GBGA2/ARUN180LTE4,LG,Ducted,Multiple split - VRF,,12.1,0
ARNU12GBGA2/ARUN200LTE4,LG,Ducted,Multiple split - VRF,,13.9,0
ARUN040GSS0,LG,Ducted,Multiple split - VRF,,3.47,0
ARUN050GSS0,LG,Ducted,Multiple split - VRF,,3.91,0
ARUN060GSS0,LG,Ducted,Multiple split - VRF,,4.48,0
B09AWYN6LS/B09AWYU6LS,LG,Ducted,Single Split System,,0.61,0
B09AWYN6LS/B09AWYU6LS,LG,Ducted,Single Split System,,0.61,0
B12AWYN6LS_B12AWYU6LS,LG,Ducted,Single Split System,,0.99,0
