Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DNH/VC30V,LACOOL,Ducted,Single Split System,,2.97,0
DNH/VC36V,LACOOL,Ducted,Single Split System,,3.44,0
DNH/VC36Y,LACOOL,Ducted,Single Split System,,3.4,0
DNH/VC48Y - 11,LACOOL,Ducted,Single Split System,,4.64,0
DNH/VC58V,LACOOL,Ducted,Single Split System,,5.56,0
DNH/VC60Y,LACOOL,Ducted,Single Split System,,5.62,0
DNH/VC60Y - 11,LACOOL,Ducted,Single Split System,,5.62,0
DNH/VM30V,LACOOL,Ducted,Single Split System,,3.12,0
DNH/VM30V-12,LACOOL,Ducted,Single Split System,,2.909,0
DNH/VM36V,LACOOL,Ducted,Single Split System,,3.54,0
DNH/VM48V,LACOOL,Ducted,Single Split System,,4.98,0
DNH/VM48V-11,LACOOL,Ducted,Single Split System,,4.98,0
DNH/VM60Y,LACOOL,Ducted,Single Split System,,5.9,0
DNH/VM60Y -11,LACOOL,Ducted,Single Split System,,5.9,0
DNH/VM75Y,LACOOL,Ducted,Single Split System,,6.717,0
DNH/VM85Y,LACOOL,Ducted,Single Split System,,8.191,0
