Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CH23-68,LENNOX,Ducted,Single Split System,,5.35,0
CH33-50/60C,LENNOX,Ducted,Single Split System,,5.21,0
HP29-060 & CB29M-65,LENNOX,Ducted,Single Split System,,5.5,0
HS29-065S & CB29M-65,LENNOX,Ducted,Single Split System,,5.85,0
KHA072S4B,LENNOX,Ducted,Packaged,,4.73,0
KHA092S4B,LENNOX,Ducted,Packaged,,5.72,0
KHA102S4B,LENNOX,Ducted,Packaged,,6.98,0
KHA120S4B,LENNOX,Ducted,Packaged,,8.38,0
KHA150S4B,LENNOX,Ducted,Packaged,,9.97,0
KHA180S4B,LENNOX,Ducted,Packaged,,12.9,0
KHA240S4B,LENNOX,Ducted,Packaged,,16.7,0
LCS-17C-3 & CH/C33-50/60C,LENNOX,Ducted,Single Split System,,5.21,0
LCS-17C-3 & CH23-68,LENNOX,Ducted,Single Split System,,5.35,0
LED070V4/LCD070V4,LENNOX,Ducted,Single Split System,,2.09,0
LED100V3/LCD100V3,LENNOX,Ducted,Single Split System,,2.9,1.5
LED100V4/LCD100V4,LENNOX,Ducted,Single Split System,,2.61,0
LED104V5/LCD104V5,LENNOX,Ducted,Single Split System,,3.25,2
LED130V3/LCD130V3,LENNOX,Ducted,Single Split System,,3.8,1.75
LED130V4/LCD130V4,LENNOX,Ducted,Single Split System,,4.2,0
LED135V5/LCD135V5,LENNOX,Ducted,Single Split System,,4.22,2
LED160V3/LCD160V3,LENNOX,Ducted,Single Split System,,5.25,1.5
LED160V4/LCD160V4,LENNOX,Ducted,Single Split System,,4.48,0
LED168V5/LCD168V5,LENNOX,Ducted,Single Split System,,5.3,2
LED735V5/LCD735V5,LENNOX,Ducted,Single Split System,,2.22,2.5
LNC0102641005,LENNOX,Non Ducted,Single Split System,Wall Hung,0.78,0
LNC0103441005,LENNOX,Non Ducted,Single Split System,Wall Hung,1.05,0
LNC0104941005,LENNOX,Non Ducted,Single Split System,Wall Hung,1.65,0
LNC0106241005,LENNOX,Non Ducted,Single Split System,Wall Hung,2.05,0
LNC0107041005,LENNOX,Non Ducted,Single Split System,Wall Hung,2.2,0
LNC0202502201,LENNOX,Non Ducted,Single Split System,,1,0
LNC0203502201,LENNOX,Non Ducted,Single Split System,,1.23,0
LNC0205202201,LENNOX,Non Ducted,Single Split System,,2.041,0
LNC0206102201,LENNOX,Non Ducted,Single Split System,,2.367,0
LNC0208202201,LENNOX,Non Ducted,Single Split System,,3.529,0
LNC0402602201,LENNOX,Non Ducted,Single Split System,Wall Hung,0.77,0
LNC0403402201,LENNOX,Non Ducted,Single Split System,Wall Hung,1.05,0
LNC0405002201,LENNOX,Non Ducted,Single Split System,Wall Hung,1.7,0
LNC0406302201,LENNOX,Non Ducted,Single Split System,Wall Hung,2.1,0
LNC0407002201,LENNOX,Non Ducted,Single Split System,Wall Hung,2.3,0
LNC0407502201,LENNOX,Non Ducted,Single Split System,Wall Hung,2.45,0
LNE025V/LNC025V,LENNOX,Non Ducted,Single Split System,Wall Hung,0.69,3
LNE027C/LNC027C,LENNOX,Non Ducted,Single Split System,Wall Hung,0.75,2.5
LNE032C/LNC032C,LENNOX,Non Ducted,Single Split System,Wall Hung,0.91,2.5
LNE033V/LNC033V,LENNOX,Non Ducted,Single Split System,Wall Hung,0.88,3
LNE050C/LNC050C,LENNOX,Non Ducted,Single Split System,Wall Hung,1.57,2
LNE051V/LNC051V,LENNOX,Non Ducted,Single Split System,Wall Hung,1.54,2
LNE063C/LNC063C,LENNOX,Non Ducted,Single Split System,Wall Hung,1.94,2
LNE067V/LNC067V,LENNOX,Non Ducted,Single Split System,Wall Hung,2.08,2
LNE071C/LNC071C,LENNOX,Non Ducted,Single Split System,Wall Hung,2.15,2
LNE081V/LNC081V,LENNOX,Non Ducted,Single Split System,Wall Hung,2.46,2
LNE088C/LNC088C,LENNOX,Non Ducted,Single Split System,Wall Hung,2.7,2
LNFS2610,LENNOX,Non Ducted,Single Split System,Wall Hung,0.71,3
LNFS2710,LENNOX,Non Ducted,Single Split System,Wall Hung,0.72,3
LNFS3510,LENNOX,Non Ducted,Single Split System,Wall Hung,0.92,3
LNFS3610,LENNOX,Non Ducted,Single Split System,Wall Hung,0.94,3
LNFS5110,LENNOX,Non Ducted,Single Split System,Wall Hung,1.57,2
LNFS5210,LENNOX,Non Ducted,Single Split System,Wall Hung,1.55,2
LNFS6410,LENNOX,Non Ducted,Single Split System,Wall Hung,1.94,2
LNFS6510,LENNOX,Non Ducted,Single Split System,Wall Hung,1.92,2
LNFS7510,LENNOX,Non Ducted,Single Split System,Wall Hung,2.25,2
LNFS8310,LENNOX,Non Ducted,Single Split System,Wall Hung,2.5,2.25
LNI0206102205,LENNOX,Non Ducted,Single Split System,,2.45,0
