Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LEV-AIS25B,Levante,Non Ducted,Single Split System,Wall Hung,0.68,2.75
LEV-AIS35B,Levante,Non Ducted,Single Split System,Wall Hung,0.91,3
LEV-AIS51B,Levante,Non Ducted,Single Split System,Wall Hung,1.504,2
LEV-AIS75B,Levante,Non Ducted,Single Split System,Wall Hung,2.27,2
LEV-ASF26A,Levante,Non Ducted,Single Split System,Wall Hung,0.71,3
LEV-ASF35A,Levante,Non Ducted,Single Split System,Wall Hung,0.92,3
LEV-ASF50A,Levante,Non Ducted,Single Split System,Wall Hung,1.57,2
LEV-ASF65A,Levante,Non Ducted,Single Split System,Wall Hung,1.92,2
LEV-ASF75A,Levante,Non Ducted,Single Split System,Wall Hung,2.25,2
LEV-AWF09A,Levante,Non Ducted,Window Wall,,0.79,2
LEV-AWF12A,Levante,Non Ducted,Window Wall,,1.05,2
LEV-AWF18A,Levante,Non Ducted,Window Wall,,1.73,1.75
Oasis09,Levante,Non Ducted,Single Split System,Wall Hung,0.66,3
Oasis12,Levante,Non Ducted,Single Split System,Wall Hung,0.84,2.75
Oasis18,Levante,Non Ducted,Single Split System,Wall Hung,1.5,2.5
Oasis24,Levante,Non Ducted,Single Split System,Wall Hung,2.08,2
Oasis28,Levante,Non Ducted,Single Split System,Wall Hung,2.35,2
