Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LB-F3661HL,LG ELECTRONICS,Ducted,Single Split System,,4.4,0
LP-K3061ZA,LG ELECTRONICS,Non Ducted,Portable cooler,,2.75,0
LSM304C-1,LG ELECTRONICS,Non Ducted,Single Split System,,3.2,0
LSM304H-1,LG ELECTRONICS,Non Ducted,Single Split System,,3.2,0
LSM364H-1,LG ELECTRONICS,Non Ducted,Single Split System,,4.4,0
LSN364C-1,LG ELECTRONICS,Non Ducted,Single Split System,,4.4,0
LSP120A-2,LG ELECTRONICS,Non Ducted,Single Split System,,1.25,0
LSQ090C-2,LG ELECTRONICS,Non Ducted,Single Split System,,0.9,0
LSQ090H-2,LG ELECTRONICS,Non Ducted,Single Split System,,0.91,0
LSR120C-2,LG ELECTRONICS,Non Ducted,Single Split System,,1.28,0
LSR120H-2,LG ELECTRONICS,Non Ducted,Single Split System,,1.28,0
LSR122T-2,LG ELECTRONICS,Non Ducted,Single Split System,,1.28,0
LST180C-2,LG ELECTRONICS,Non Ducted,Single Split System,,1.95,0
LST243C-2,LG ELECTRONICS,Non Ducted,Single Split System,,2.7,0
LST244H-2,LG ELECTRONICS,Non Ducted,Single Split System,,2.7,0
LWC092RH-2,LG ELECTRONICS,Non Ducted,Window Wall,,1,0
LWC122RC-2,LG ELECTRONICS,Non Ducted,Window Wall,,1.26,0
LWC122RH-2,LG ELECTRONICS,Non Ducted,Window Wall,,1.35,0
LWG070AC-2,LG ELECTRONICS,Non Ducted,Window Wall,,0.7,0
LWJ050AC-2,LG ELECTRONICS,Non Ducted,Window Wall,,0.62,0
LWM183RC-2,LG ELECTRONICS,Non Ducted,Window Wall,,1.78,0
LWM183RH-2,LG ELECTRONICS,Non Ducted,Window Wall,,1.64,0
