Model No,Brand,Control,Prog Name,Type,New CEC,New Star
Bravo Digital LDS12D,LIVEZI,Ducted,Single Split System,,4.197,0
Bravo Digital LDS16D,LIVEZI,Ducted,Single Split System,,5.791,0
Bravo Digital LDS20B,LIVEZI,Ducted,Single Split System,,6.52,0
Bravo Digital LDS23A,LIVEZI,Ducted,Single Split System,,7.355,0
H-3SP-11/ H-INV-11,LIVEZI,Ducted,Single Split System,,3.18,1.75
H-3SP-15/ H-INV-15,LIVEZI,Ducted,Single Split System,,4.48,2
H-3SP-7/ H-INV-7,LIVEZI,Ducted,Single Split System,,2.09,2.25
H-DR-19,LIVEZI,Ducted,Single Split System,,5.2,0
H-DR-22,LIVEZI,Ducted,Single Split System,,5.65,0
H-DR-26,LIVEZI,Ducted,Single Split System,,7.18,0
H-DV-18,LIVEZI,Ducted,Single Split System,,5.55,0
H-DV-18-L7,LIVEZI,Ducted,Single Split System,,5.574,0
H-DV-19,LIVEZI,Ducted,Single Split System,,5.2,0
H-DV-20-L7,LIVEZI,Ducted,Single Split System,,6.17,0
H-DV-22,LIVEZI,Ducted,Single Split System,,5.65,0
H-DV-23-L7,LIVEZI,Ducted,Single Split System,,7.188,0
H-DV-26,LIVEZI,Ducted,Single Split System,,7.18,0
