Model No,Brand,Control,Prog Name,Type,New CEC,New Star
L036HHE,Mammoth,Ducted,Packaged,,2.55,0
MSR-J043,Mammoth,Ducted,Packaged,,3.08,0
MSR-J052,Mammoth,Ducted,Packaged,,3.62,0
MSR-J062,Mammoth,Ducted,Packaged,,4.4,0
MSR-J072,Mammoth,Ducted,Packaged,,5.1,0
MSR-L009,Mammoth,Ducted,Packaged,,0.655,0
MSR-L013,Mammoth,Ducted,Packaged,,1.002,0
MSR-L016,Mammoth,Ducted,Packaged,,1.24,0
MSR-L019,Mammoth,Ducted,Packaged,,1.48,0
MSR-L024,Mammoth,Ducted,Packaged,,1.79,0
MSR-L030,Mammoth,Ducted,Packaged,,2.186,0
