Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CC 40C,MCQUAY,Ducted,Single Split System,,4.19,0
CC 40CR,MCQUAY,Ducted,Single Split System,,4.19,0
CC 50C,MCQUAY,Ducted,Single Split System,,5.47,0
CC 50CR,MCQUAY,Ducted,Single Split System,,5.47,0
CC 60C,MCQUAY,Ducted,Single Split System,,5.8,0
CC 60CR,MCQUAY,Ducted,Single Split System,,5.8,0
CE 40D,MCQUAY,Ducted,Packaged,,4.04,0
CE 40DR,MCQUAY,Ducted,Packaged,,4.04,0
CE 50D,MCQUAY,Ducted,Packaged,,5.01,0
CE 50DR,MCQUAY,Ducted,Packaged,,5.01,0
CK 50A,MCQUAY,Ducted,Packaged,,5.1,0
CK 50AR,MCQUAY,Ducted,Packaged,,5.1,0
CK40A,MCQUAY,Ducted,Packaged,,4.1,0
CK40AR,MCQUAY,Ducted,Packaged,,4.1,0
RT100A,MCQUAY,Ducted,Packaged,,10.5,0
RT100AR,MCQUAY,Ducted,Packaged,,11.1,0
RT150A,MCQUAY,Ducted,Packaged,,15.6,0
RT150AR,MCQUAY,Ducted,Packaged,,17.5,0
RT200A,MCQUAY,Ducted,Packaged,,20.5,0
RT200AR,MCQUAY,Ducted,Packaged,,22,0
RT80A,MCQUAY,Ducted,Packaged,,9,0
RT80AR,MCQUAY,Ducted,Packaged,,9,0
SB100B,MCQUAY,Ducted,Single Split System,,9.8,0
SB100BR,MCQUAY,Ducted,Single Split System,,9.8,0
SB125B,MCQUAY,Ducted,Single Split System,,11.5,0
SB125BR,MCQUAY,Ducted,Single Split System,,11.5,0
SB75B,MCQUAY,Ducted,Single Split System,,8,0
SB75BR,MCQUAY,Ducted,Single Split System,,8,0
