Model No,Brand,Control,Prog Name,Type,New CEC,New Star
C-VM3-80,MIDEA,Non Ducted,Multiple split - Fixed head,,2.3,0
C-VM5-105,MIDEA,Non Ducted,Multiple split - Fixed head,,3.08,0
DMORC28,MIDEA,Non Ducted,Single Split System,Wall Hung,2.37,2.25
FMV09,MIDEA,Non Ducted,Single Split System,Wall Hung,0.66,3
FMV09,MIDEA,Non Ducted,Single Split System,Wall Hung,0.66,3
FMV09DR,MIDEA,Non Ducted,Single Split System,Wall Hung,0.66,3
FMV12,MIDEA,Non Ducted,Single Split System,Wall Hung,0.96,3
FMV12,MIDEA,Non Ducted,Single Split System,Wall Hung,0.96,3
FMV12DR,MIDEA,Non Ducted,Single Split System,Wall Hung,0.96,3
FMV18,MIDEA,Non Ducted,Single Split System,Wall Hung,1.58,2.5
FMV18,MIDEA,Non Ducted,Single Split System,Wall Hung,1.58,2.5
FMV18DR,MIDEA,Non Ducted,Single Split System,Wall Hung,1.58,2.5
FMV21,MIDEA,Non Ducted,Single Split System,Wall Hung,1.94,1.75
FMV21DR,MIDEA,Non Ducted,Single Split System,Wall Hung,1.94,1.75
FMV24,MIDEA,Non Ducted,Single Split System,Wall Hung,2.12,1.75
FMV24,MIDEA,Non Ducted,Single Split System,Wall Hung,2.12,1.75
FMV24DR,MIDEA,Non Ducted,Single Split System,Wall Hung,2.12,1.75
KFR-23GW/I1Y,MIDEA,Non Ducted,Single Split System,,0.88,0
KFR-26GW/I1Y,MIDEA,Non Ducted,Single Split System,,0.97,0
KFR-26GW/Y,MIDEA,Non Ducted,Single Split System,,0.93,0
KFR-26GW/Y,MIDEA,Non Ducted,Single Split System,,0.93,0
KFR-32GW/Y,MIDEA,Non Ducted,Single Split System,,1.28,0
KFR-32GW/Y,MIDEA,Non Ducted,Single Split System,,1.28,0
KFR-36GWY,MIDEA,Non Ducted,Single Split System,,1.5,0
KFR-45GWY,MIDEA,Non Ducted,Single Split System,,1.7,0
KFR-53GW/Y,MIDEA,Non Ducted,Single Split System,,2,0
KFR-53GW/Y,MIDEA,Non Ducted,Single Split System,,2,0
KFR-61GW/Y,MIDEA,Non Ducted,Single Split System,,2.65,0
KFR-61GW/Y,MIDEA,Non Ducted,Single Split System,,2.56,0
KFR-70GW/Y,MIDEA,Non Ducted,Single Split System,,3.03,0
KFR-70GW/Y,MIDEA,Non Ducted,Single Split System,,2.84,0
MCC-24HRDN1-Q/MOU-24HDN1-Q,MIDEA,Non Ducted,Single Split System,Cassette,2.35,1.25
MCC-30HRDN1-Q/MOU-30HDN1-Q,MIDEA,Non Ducted,Single Split System,Cassette,2.98,1.25
MCC-36HRDN1-Q/MOU-36HDN1-Q,MIDEA,Non Ducted,Single Split System,Cassette,3.27,1
MCC-48HRDN1-QC3/MOU-48HDN1-QC3,MIDEA,Non Ducted,Single Split System,Cassette,4.57,1.25
MCD-18HRFN1-QRC8/MOU-18HFN1-QRC8,MIDEA,Non Ducted,Single Split System,Cassette,1.56,2.25
MCD-24HRFN1-QRC8/MOU-24HFN1-QRC8,MIDEA,Non Ducted,Single Split System,Cassette,2.15,2
MCD-30HRFN1-Q/MOU-30HFN1-Q,MIDEA,Non Ducted,Single Split System,Cassette,2.47,2
MCD-42HRFN1-Q/MOU-42HFN1-Q,MIDEA,Non Ducted,Single Split System,Cassette,3.45,1.5
