Model No,Brand,Control,Prog Name,Type,New CEC,New Star
MAC-12.5KWDSYS,MILANO APPLIANCES,Ducted,Single Split System,,4.9,0
MAC-18.0KWDSYS,MILANO APPLIANCES,Ducted,Single Split System,,6.5,0
MAC-2.3RC,MILANO APPLIANCES,Non Ducted,Single Split System,,0.92,0
MAC-26.0KWDSYS,MILANO APPLIANCES,Ducted,Single Split System,,11,0
MAC-3.5RC,MILANO APPLIANCES,Non Ducted,Single Split System,,1.3,0
MAC-5.0RC,MILANO APPLIANCES,Non Ducted,Single Split System,,2.25,0
MAC-6.0RC,MILANO APPLIANCES,Non Ducted,Single Split System,,2.38,0
MAC-7.0RC,MILANO APPLIANCES,Non Ducted,Single Split System,,2.7,0
MAC-8.3RC,MILANO APPLIANCES,Non Ducted,Single Split System,,3.2,0
MAC-9.5KWDSYS,MILANO APPLIANCES,Ducted,Single Split System,,3.9,0
