Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AS-12HR4FD,MILANO,Non Ducted,Single Split System,,1.27,0
AS-12HR4FM,MILANO,Non Ducted,Single Split System,,1.27,0
AS-12HR4FV,MILANO,Non Ducted,Single Split System,,1.27,0
KFR-35GW/AX1c,MILANO,Non Ducted,Single Split System,,1.125,0
KFR-35GW/c,MILANO,Non Ducted,Single Split System,,1.32,0
KFR-35GW/T1,MILANO,Non Ducted,Single Split System,,1.28,0
KFR-35GW/T1,MILANO,Non Ducted,Single Split System,,1.28,0
KFR-35GW/W1,MILANO,Non Ducted,Single Split System,,1.28,0
KFR-50GW/B,MILANO,Non Ducted,Single Split System,,1.9,0
KFR-50GW/W1,MILANO,Non Ducted,Single Split System,,1.9,0
KFR-51GW/X1c,MILANO,Non Ducted,Single Split System,,1.8,0
KFR-60GW/A,MILANO,Non Ducted,Single Split System,,2.48,0
KFR-60GW/A,MILANO,Non Ducted,Single Split System,,2.48,0
KFR-61GW/c,MILANO,Non Ducted,Single Split System,,2.32,0
KFR-61GW/X1c,MILANO,Non Ducted,Single Split System,,2.15,0
KFR-70GW/B,MILANO,Non Ducted,Single Split System,,2.75,0
KFR-70GW/W,MILANO,Non Ducted,Single Split System,,2.75,0
KFR-83GW,MILANO,Non Ducted,Single Split System,,3.4,0
KFR-83GW,MILANO,Non Ducted,Single Split System,,3.4,0
