Model No,Brand,Control,Prog Name,Type,New CEC,New Star
MAS101,MISTRAL,Non Ducted,Single Split System,,0.79,0
MAS151,MISTRAL,Non Ducted,Single Split System,,1.3,0
MAS201,MISTRAL,Non Ducted,Single Split System,,1.96,0
MAS201SS,MISTRAL,Non Ducted,Single Split System,,1.96,0
MAS251,MISTRAL,Non Ducted,Single Split System,,2.5,0
MAS251SS,MISTRAL,Non Ducted,Single Split System,,2.5,0
MCC25,MISTRAL,Non Ducted,Single Split System,,2.7,0
MCCT25SS,MISTRAL,Non Ducted,Single Split System,,2.7,0
MISS10,MISTRAL,Non Ducted,Single Split System,,0.79,0
MISS15,MISTRAL,Non Ducted,Single Split System,,1.3,0
MISS20,MISTRAL,Non Ducted,Single Split System,,1.96,0
MISS20SS,MISTRAL,Non Ducted,Single Split System,,1.96,0
MISS25,MISTRAL,Non Ducted,Single Split System,,2.5,0
MISS25SS,MISTRAL,Non Ducted,Single Split System,,2.5,0
MSS10,MISTRAL,Non Ducted,Single Split System,,0.79,0
MSS15,MISTRAL,Non Ducted,Single Split System,,1.3,0
MSS2.0,MISTRAL,Non Ducted,Single Split System,Floor/Ceiling,0.662,0
MSS2.6,MISTRAL,Non Ducted,Single Split System,,0.8,0
MSS20,MISTRAL,Non Ducted,Single Split System,,1.96,0
MSS25,MISTRAL,Non Ducted,Single Split System,,2.5,0
MSS25SS,MISTRAL,Non Ducted,Single Split System,,2.5,0
MSS3.3,MISTRAL,Non Ducted,Single Split System,,1.05,0
MSS4.8,MISTRAL,Non Ducted,Single Split System,Floor/Ceiling,1.7,0
MSS6.5,MISTRAL,Non Ducted,Single Split System,Floor/Ceiling,2.2,0
MSS6.5SS,MISTRAL,Non Ducted,Single Split System,Floor/Ceiling,2.2,0
MWW10,MISTRAL,Non Ducted,Window Wall,,0.765,0
MWW12,MISTRAL,Non Ducted,Window Wall,,1.3,0
MWW15,MISTRAL,Non Ducted,Window Wall,,1.3,0
MWW18,MISTRAL,Non Ducted,Window Wall,,2.1,0
MWW20,MISTRAL,Non Ducted,Window Wall,,2.1,0
MWW7,MISTRAL,Non Ducted,Window Wall,,0.765,0
