Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DXK06ZM-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,0.44,4
DXK09Z3-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,0.71,2.5
DXK09ZJ-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,0.58,4
DXK09ZMA-S / DXC09ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,0.58,4.25
DXK12Z3-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,1.06,2
DXK12ZJ-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,0.87,3.25
DXK12ZMA-S / DXC12ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,0.87,3.5
DXK18Z3-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,1.56,1.75
DXK18ZJ-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,1.55,2
DXK18ZMA-S / DXC18ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,1.55,2
DXK21Z4-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,1.76,2.5
DXK21ZMA-S / DXC21ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,1.76,2.75
DXK21ZRA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,1.85,3
DXK24Z4-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,2.16,2
DXK24ZMA-S / DXC24ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,2.16,2.25
DXK24ZRA-S / DXC24ZRA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,2.05,2.75
DXK28Z4-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,2.65,1.5
DXK28Z4-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,2.65,1.5
DXK28ZL-S / DXC28ZL-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,2.35,2
DXK28ZMA-S / DXC28ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,2.35,2
DXK28ZRA-S / DXC28ZRA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,2.35,2.5
DXK32ZL-S / DXC32ZL-S,MITSUBISHI HEAVY INDUSTRIES LTD.,Non Ducted,Single Split System,Wall Hung,2.54,2.25
DXK32ZMA-S / DXC32ZMA-S,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Non Ducted,Single Split System,Wall Hung,2.54,2.25
DXU24AVNXVF,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Ducted,Single Split System,,2.22,0
DXU24VNXVF,MITSUBISHI HEAVY INDUSTRIES LTD.,Ducted,Single Split System,,2.22,0
DXU34AVNXVF,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Ducted,Single Split System,,2.85,0
DXU34VNXVF,MITSUBISHI HEAVY INDUSTRIES LTD.,Ducted,Single Split System,,2.85,0
DXU43AVNXVF,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Ducted,Single Split System,,3.83,0
DXU43VNXVF,MITSUBISHI HEAVY INDUSTRIES LTD.,Ducted,Single Split System,,3.83,0
DXU48AVNXVF,"MITSUBISHI HEAVY INDUSTRIES, LTD.",Ducted,Single Split System,,4.44,0
DXU48VNXVF,MITSUBISHI HEAVY INDUSTRIES LTD.,Ducted,Single Split System,,4.44,0
