Model No,Brand,Control,Prog Name,Type,New CEC,New Star
NSC250F,NEC,Non Ducted,Single Split System,,0.92,0
NSC330F,NEC,Non Ducted,Single Split System,,1.32,0
NSC510F,NEC,Non Ducted,Single Split System,,2.05,0
NSC680F,NEC,Non Ducted,Single Split System,,2.5,0
NSR250F,NEC,Non Ducted,Single Split System,,0.92,0
NSR330F,NEC,Non Ducted,Single Split System,,1.3,0
NSR680F,NEC,Non Ducted,Single Split System,,2.5,0
NSR788F,NEC,Non Ducted,Single Split System,,3,0
RC124,NEC,Non Ducted,Window Wall,,1.26,0
RC125,NEC,Non Ducted,Window Wall,,1.26,0
RC245,NEC,Non Ducted,Window Wall,,2.4,0
RC245RC,NEC,Non Ducted,Window Wall,,2.4,0
RC74,NEC,Non Ducted,Window Wall,,0.77,0
RC75,NEC,Non Ducted,Window Wall,,0.7,0
RC94,NEC,Non Ducted,Window Wall,,0.97,0
RH120,NEC,Non Ducted,Window Wall,,1.35,0
RH129,NEC,Non Ducted,Window Wall,,1.35,0
RH189,NEC,Non Ducted,Window Wall,,1.64,0
RH189,NEC,Non Ducted,Window Wall,,1.64,0
RH240,NEC,Non Ducted,Window Wall,,2.63,0
RIH-3267,NEC,Non Ducted,Single Split System,Wall Hung,0.93,0
RSC1013,NEC,Non Ducted,Single Split System,,0.9,0
RSC1215,NEC,Non Ducted,Single Split System,,1.21,0
RSH-2647,NEC,Non Ducted,Single Split System,Wall Hung,0.77,0
RSH-3347,NEC,Non Ducted,Single Split System,Wall Hung,0.94,0
RSH-5947,NEC,Non Ducted,Single Split System,Wall Hung,1.95,0
RSH-6847,NEC,Non Ducted,Single Split System,Wall Hung,2.3,0
RSH-8047,NEC,Non Ducted,Single Split System,Wall Hung,2.7,0
RSH1023,NEC,Non Ducted,Single Split System,,0.93,0
RSH1225,NEC,Non Ducted,Single Split System,,1.3,0
RSH2425,NEC,Non Ducted,Single Split System,,2.67,0
RWC-2117,NEC,Non Ducted,Window Wall,,0.72,0
RWC-2517,NEC,Non Ducted,Window Wall,,0.82,0
RWC-3217,NEC,Non Ducted,Window Wall,,1.1,0
