Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KC-25/I2,NEXUS,Non Ducted,Window Wall,,1.06,0
KCR-25/Y,NEXUS,Non Ducted,Window Wall,,1.05,0
KCR-35/Y,NEXUS,Non Ducted,Window Wall,,1.4,0
KFR-35GW/T2,NEXUS,Non Ducted,Single Split System,,1.3,0
KFR-60GW/T,NEXUS,Non Ducted,Single Split System,,2.38,0
KFR-70GW/T,NEXUS,Non Ducted,Single Split System,,2.7,0
NE-AC2501WVa(R410A),NEXUS,Non Ducted,Single Split System,Wall Hung,0.81,0
NE-AC25SSR/V,NEXUS,Non Ducted,Single Split System,,0.88,0
NE-AC25WC,NEXUS,Non Ducted,Window Wall,,1.06,0
NE-AC25WR/Y,NEXUS,Non Ducted,Window Wall,,1.05,0
NE-AC3201WVa(R410A),NEXUS,Non Ducted,Single Split System,Wall Hung,1.03,0
NE-AC3501VJ,NEXUS,Non Ducted,Single Split System,Wall Hung,1.12,0
NE-AC35SSR/V,NEXUS,Non Ducted,Single Split System,,1.23,0
NE-AC35WR/Y,NEXUS,Non Ducted,Window Wall,,1.4,0
NE-AC6001VWa(R410A),NEXUS,Non Ducted,Single Split System,Wall Hung,2.14,0
NE-AC60SSR/T,NEXUS,Non Ducted,Single Split System,,2.38,0
NE-AC7001VWa(R410A),NEXUS,Non Ducted,Single Split System,Wall Hung,2.5,0
NE-AC70SSR/T,NEXUS,Non Ducted,Single Split System,,2.7,0
