Model No,Brand,Control,Prog Name,Type,New CEC,New Star
OAC03 PACKAGED,OAC,Ducted,Packaged,,3.7,0
OAC03 SPLIT DUCTED,OAC,Ducted,Single Split System,,3.7,0
OAC03VCU,OAC,Ducted,Single Split System,,3.7,0
OAC03VCU,OAC,Ducted,Packaged,,3.7,0
OAC04 PACKAGED,OAC,Ducted,Packaged,,4.4,0
OAC04 SPLIT DUCTED,OAC,Ducted,Single Split System,,4.4,0
OAC04VCU,OAC,Ducted,Single Split System,,4.4,0
OAC04VCU,OAC,Ducted,Packaged,,4.4,0
OAC05 PAKAGED,OAC,Ducted,Packaged,,4.9,0
OAC05 SPLIT DUCTED,OAC,Ducted,Single Split System,,4.9,0
OAC05VCU,OAC,Ducted,Single Split System,,4.9,0
OAC05VCU,OAC,Ducted,Packaged,,4.9,0
OAC06 PACKAGED,OAC,Ducted,Packaged,,5.1,0
OAC06 SPLIT DUCTED,OAC,Ducted,Single Split System,,5.1,0
OAC065 PACKAGED,OAC,Ducted,Packaged,,5.8,0
OAC065 SPLIT DUCTED,OAC,Ducted,Single Split System,,5.8,0
OAC065VCU,OAC,Ducted,Single Split System,,5.8,0
OAC065VCU,OAC,Ducted,Packaged,,5.8,0
OAC06VCU,OAC,Ducted,Single Split System,,5.1,0
OAC06VCU,OAC,Ducted,Packaged,,5.1,0
OAC07 PACKAGED,OAC,Ducted,Packaged,,6.7,0
OAC07 SPLIT DUCTED,OAC,Ducted,Single Split System,,6.7,0
OAC075 PACKAGED,OAC,Ducted,Packaged,,7.8,0
OAC075 SPLIT DUCTED,OAC,Ducted,Single Split System,,7.8,0
OAC075VCU,OAC,Ducted,Single Split System,,7.8,0
OAC075VCU,OAC,Ducted,Packaged,,7.8,0
OAC07VCU,OAC,Ducted,Packaged,,6.7,0
OAC07VCU,OAC,Ducted,Single Split System,,6.7,0
