Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ASW-H09A4/ET-2,ONSEN,Non Ducted,Single Split System,Wall Hung,0.78,0
ASW-H12A4/ET-2,ONSEN,Non Ducted,Single Split System,Wall Hung,0.96,0
ASW-H18B4/ETXs,ONSEN,Non Ducted,Single Split System,Wall Hung,1.9,0
ASW-H24A4/ETs,ONSEN,Non Ducted,Single Split System,Wall Hung,2.05,0
OAF26,ONSEN,Non Ducted,Single Split System,Wall Hung,0.68,2.75
OAF34,ONSEN,Non Ducted,Single Split System,Wall Hung,0.9,2.75
OAF49,ONSEN,Non Ducted,Single Split System,Wall Hung,1.45,2.75
OAF67,ONSEN,Non Ducted,Single Split System,Wall Hung,1.95,2.25
OAF70,ONSEN,Non Ducted,Single Split System,Wall Hung,2.1,2
OAFX26,ONSEN,Non Ducted,Single Split System,Wall Hung,0.68,2.5
OAFX34,ONSEN,Non Ducted,Single Split System,Wall Hung,0.9,2.5
OAFX48,ONSEN,Non Ducted,Single Split System,Wall Hung,1.36,2
OAFX67,ONSEN,Non Ducted,Single Split System,Wall Hung,1.95,2
