Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AC-26,OPTICAL,Non Ducted,Single Split System,,0.98,0
AC-26,OPTICAL,Non Ducted,Single Split System,,0.98,0
AC-36,OPTICAL,Non Ducted,Single Split System,,1.45,0
AC-36,OPTICAL,Non Ducted,Single Split System,,1.45,0
AC-51,OPTICAL,Non Ducted,Single Split System,,2.05,0
AC-51,OPTICAL,Non Ducted,Single Split System,,2.05,0
AC-60,OPTICAL,Non Ducted,Single Split System,,2.3,0
AC-70,OPTICAL,Non Ducted,Single Split System,,2.85,0
AC-70,OPTICAL,Non Ducted,Single Split System,,2.85,0
ACC-125DU,OPTICAL,Ducted,Single Split System,,4.9,0
ACC-180DU,OPTICAL,Ducted,Single Split System,,6.5,0
ACC-25,OPTICAL,Non Ducted,Single Split System,,0.88,0
ACC-25,OPTICAL,Non Ducted,Single Split System,,0.88,0
ACC-260DU,OPTICAL,Ducted,Single Split System,,11,0
ACC-35,OPTICAL,Non Ducted,Single Split System,,1.23,0
ACC-35,OPTICAL,Non Ducted,Single Split System,,1.23,0
ACC-35V2,OPTICAL,Non Ducted,Single Split System,Wall Hung,1.12,0
ACC-50,OPTICAL,Non Ducted,Single Split System,,2.25,0
ACC-50V2,OPTICAL,Non Ducted,Single Split System,Wall Hung,1.79,0
ACC-60V2,OPTICAL,Non Ducted,Single Split System,Wall Hung,2.16,0
ACC-70V2,OPTICAL,Non Ducted,Single Split System,Wall Hung,2.52,0
ACC-95DU,OPTICAL,Ducted,Single Split System,,3.9,0
ACH-70,OPTICAL,Non Ducted,Single Split System,,2.85,0
ACHI-27,OPTICAL,Non Ducted,Single Split System,,0.84,0
ACHI-62,OPTICAL,Non Ducted,Single Split System,,2.1,0
ACK-25,OPTICAL,Non Ducted,Single Split System,,0.88,0
ACK-25,OPTICAL,Non Ducted,Single Split System,,0.88,0
ACMI-65,OPTICAL,Non Ducted,Single Split System,,2.45,0
C410-95DU,OPTICAL,Ducted,Single Split System,,3.6,0
