Model No,Brand,Control,Prog Name,Type,New CEC,New Star
-,PANASONIC,Non Ducted,Single Split System,,0.88,0
-,PANASONIC,Non Ducted,Single Split System,,0.57,0
-,PANASONIC,Non Ducted,Single Split System,,0.95,0
-,PANASONIC,Ducted,Single Split System,,1.24,0
-,PANASONIC,Non Ducted,Single Split System,,2.21,0
-,PANASONIC,Non Ducted,Single Split System,,1.95,0
-,PANASONIC,Non Ducted,Single Split System,,1.16,0
-,PANASONIC,Non Ducted,Single Split System,,1.17,0
-,PANASONIC,Non Ducted,Single Split System,,2.72,0
-,PANASONIC,Non Ducted,Single Split System,,2.55,0
-,PANASONIC,Non Ducted,Single Split System,,0.7,0
-,PANASONIC,Non Ducted,Single Split System,,2.3,0
-,PANASONIC,Ducted,Single Split System,,1.62,0
-,PANASONIC,Non Ducted,Single Split System,,2.05,0
-,PANASONIC,Non Ducted,Single Split System,,1.53,0
-,PANASONIC,Non Ducted,Single Split System,,2.21,0
-,PANASONIC,Non Ducted,Single Split System,,2.06,0
CS_CU-E12MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.83,3
CS_CU-E12NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.83,3
CS_CU-E15MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.2,2.5
CS_CU-E15NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.2,2.5
CS_CU-E18MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.3,2.5
CS_CU-E18NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.3,2.5
CS_CU-E18PKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.3,2.5
CS_CU-E21MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.8,2
CS_CU-E21NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.8,2
CS_CU-E24MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.11,2.25
CS_CU-E24NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.11,2.25
CS_CU-E28MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.39,2
CS_CU-E28NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.39,2
CS_CU-E7MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.46,3.75
CS_CU-E7NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.46,3.75
CS_CU-E9MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.55,4.5
CS_CU-E9NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.55,4.5
CS_CU-E9PKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.55,4.5
CS_CU-RE18MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.3,2.5
CS_CU-RE18NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.3,2.5
CS_CU-RE18PKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.3,2.5
CS_CU-RE24MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.11,2.25
CS_CU-RE24NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.11,2.25
CS_CU-RE28MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.39,2
CS_CU-RE28NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.39,2
CS_CU-S12MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.86,1.5
CS_CU-S12NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.86,1.5
CS_CU-S12PKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.86,1.5
CS_CU-S18MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.3,1.25
CS_CU-S18NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.3,1.25
CS_CU-S18PKR,Panasonic,Non Ducted,Single Split System,Wall Hung,1.3,1.25
CS_CU-S24MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.18,1
CS_CU-S24NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.18,1
CS_CU-S28MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.46,0.75
CS_CU-S28NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,2.46,0.75
CS_CU-S9MKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.63,1.5
CS_CU-S9NKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.63,1.5
CS_CU-S9PKR,Panasonic,Non Ducted,Single Split System,Wall Hung,0.63,1.5
CS-1270TR/CU-1270TR,PANASONIC,Non Ducted,Single Split System,,1.3,0
CS-1873KR/CU-1873KR,PANASONIC,Non Ducted,Single Split System,,1.85,0
CS-2070TR/CU-2070TR,PANASONIC,Non Ducted,Single Split System,,2.05,0
CS-2470TR/CU-2470TR,PANASONIC,Non Ducted,Single Split System,,2.95,0
CS-A120KR/CU-A120KR,PANASONIC,Non Ducted,Single Split System,,1.3,0
CS-A123KR/CU-A123KR,PANASONIC,Non Ducted,Single Split System,,1.31,0
CS-A12ATP5/CU-A12ATP5,PANASONIC,Non Ducted,Single Split System,,1.3,0
CS-A12BKP/CU-A12BKP5,PANASONIC,Non Ducted,Single Split System,,1.17,0
CS-A12CKP/CU-A12CKP5,PANASONIC,Non Ducted,Single Split System,,1.17,0
CS-A12CTP/CU-A12CTP5,PANASONIC,Non Ducted,Single Split System,,1.16,0
CS-A181KR/CU-A181KR,PANASONIC,Non Ducted,Single Split System,,2.19,0
CS-A18ATP5/CU-A18ATPT5,PANASONIC,Non Ducted,Single Split System,,2.19,0
CS-A18BB4P/CU-A18BBP5,PANASONIC,Non Ducted,Single Split System,,1.95,0
CS-A18BTP/CU-A18BBP5,PANASONIC,Non Ducted,Single Split System,,1.95,0
CS-A18CTP/CU-A18CTP5,PANASONIC,Non Ducted,Single Split System,,1.95,0
CS-A241KR/CU-A241KR,PANASONIC,Non Ducted,Single Split System,,3.08,0
CS-A24ATP5/CU-A24ATPT5,PANASONIC,Non Ducted,Single Split System,,2.89,0
CS-A24BB4P/CU-A24BBP5,PANASONIC,Non Ducted,Single Split System,,2.5,0
CS-A24BKP/CU-A24BKP5,PANASONIC,Non Ducted,Single Split System,,2.87,0
CS-A24BTP/CU-A24BBP5,PANASONIC,Non Ducted,Single Split System,,2.5,0
CS-A24CKR/CU-A24CKR,PANASONIC,Non Ducted,Single Split System,,2.7,0
CS-A24CTP/CU-A24CTP5,PANASONIC,Non Ducted,Single Split System,,2.9,0
CS-A28BB4P/CU-A28BBP5,PANASONIC,Non Ducted,Single Split System,,2.69,0
CS-A28BB4P/CU-A28BBP8,PANASONIC,Non Ducted,Packaged,,2.69,0
CS-A28BD1P/CU-A28BBP8,PANASONIC,Ducted,Single Split System,,2.98,0
CS-A28BTP/CU-A28BBP5,PANASONIC,Non Ducted,Single Split System,,2.69,0
CS-A28BTP/CU-A28BBP8,PANASONIC,Non Ducted,Packaged,,2.69,0
CS-A34BB4P/CU-A34BBP8,PANASONIC,Non Ducted,Packaged,,3.3,0
CS-A34BD1P/CU-A34BBP8,PANASONIC,Ducted,Single Split System,,3.8,0
CS-A34BTP/CU-A34BBP8,PANASONIC,Non Ducted,Packaged,,3.3,0
CS-A43BB4P/CU-A43BBP8,PANASONIC,Non Ducted,Packaged,,4.25,0
