Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ACF/ACS 18,PARAGON,Non Ducted,Single Split System,,6.1,0
ACF/ACS 20,PARAGON,Non Ducted,Single Split System,,7,0
ACF/ACS 23,PARAGON,Non Ducted,Single Split System,,7.9,0
ACF/ACS 27,PARAGON,Non Ducted,Single Split System,,9,0
ACFH/ACSH 18,PARAGON,Non Ducted,Single Split System,,6.1,0
ACFH/ACSH 20,PARAGON,Non Ducted,Single Split System,,7,0
ACFH/ACSH 23,PARAGON,Non Ducted,Single Split System,,7.9,0
ACFH/ACSH 27,PARAGON,Non Ducted,Single Split System,,9,0
ACP 018,PARAGON,Ducted,Packaged,,6.1,0
ACP 020,PARAGON,Ducted,Packaged,,6.5,0
ACP 023,PARAGON,Ducted,Packaged,,7.9,0
ACP 027,PARAGON,Ducted,Packaged,,9,0
ACPH 018,PARAGON,Ducted,Packaged,,6.1,0
ACPH 020,PARAGON,Ducted,Packaged,,6.5,0
ACPH 023,PARAGON,Ducted,Packaged,,7.9,0
ACPH 027,PARAGON,Ducted,Packaged,,9,0
