Model No,Brand,Control,Prog Name,Type,New CEC,New Star
EAOC-10/MAOC-10-D,PIONEER INTERNATIONAL,Ducted,Single Split System,,8.1,0
EAOC-10/MAOC-10-D-X,PIONEER INTERNATIONAL,Ducted,Single Split System,,7.48,0
EAOC-3/MAOC-3-D,PIONEER INTERNATIONAL,Ducted,Single Split System,,3.52,0
EAOC-3/MAOC-3-D-X,PIONEER INTERNATIONAL,Ducted,Single Split System,,3.3,0
EAOC-4/MOAC-4-D,PIONEER INTERNATIONAL,Ducted,Single Split System,,4.41,0
EAOC-4/MOAC-4-D-X,PIONEER INTERNATIONAL,Ducted,Single Split System,,4.26,0
EAOC-5/MOAC-5-D,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.33,0
EAOC-5/MOAC-5-D-X,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.19,0
EAOC-7/MAOC-7-D,PIONEER INTERNATIONAL,Ducted,Single Split System,,6.6,0
EAOC-7/MAOC-7-D-X,PIONEER INTERNATIONAL,Ducted,Single Split System,,6.77,0
EAOC-8/MOAC-8-D,PIONEER INTERNATIONAL,Ducted,Single Split System,,7.7,0
EAOC-8/MOAC-8-D-X,PIONEER INTERNATIONAL,Ducted,Single Split System,,6.95,0
EH-10/MG-10-D,PIONEER INTERNATIONAL,Ducted,Single Split System,,8.1,0
EH-10/MG-10-D-X,PIONEER INTERNATIONAL,Ducted,Single Split System,,7.48,0
EH-7/MG-7-D,PIONEER INTERNATIONAL,Ducted,Single Split System,,6.6,0
EH-7/MG-7-D-X,PIONEER INTERNATIONAL,Ducted,Single Split System,,6.77,0
FDF158A4/HDF158D4,PIONEER INTERNATIONAL,Ducted,Packaged,,5.9,0
GTIO-100A6/GTE-100-A6,PIONEER INTERNATIONAL,Ducted,Single Split System,,2.42,0
IFDF145A4/IHDF145A4,PIONEER INTERNATIONAL,Ducted,Packaged,,5.3,0
MAOC-2-A/EAOC-2,PIONEER INTERNATIONAL,Ducted,Single Split System,,2.75,0
MAOC-2-A/EAOC-2,PIONEER INTERNATIONAL,Ducted,Single Split System,,2.75,0
MAOC-2.5-A/EAOC-2.5,PIONEER INTERNATIONAL,Ducted,Single Split System,,2.75,0
MAOC-2.5-A/EAOC-2.5,PIONEER INTERNATIONAL,Ducted,Single Split System,,2.75,0
MAOC-3-A/EH3,PIONEER INTERNATIONAL,Ducted,Single Split System,,3.57,0
MAOC-3-A/EH3,PIONEER INTERNATIONAL,Ducted,Single Split System,,3.57,0
MAOC-4-A/EAOC-4,PIONEER INTERNATIONAL,Ducted,Single Split System,,4.65,0
MAOC-4-A/EAOC-4,PIONEER INTERNATIONAL,Ducted,Single Split System,,4.65,0
MAOC-5-A/EAOC-5,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.52,0
MAOC-5-A/EAOC-5,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.52,0
MAOC-6-A/EAOC-6,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.56,0
MAOC-6-A/EAOC-6,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.56,0
MG-2-A/EH-2,PIONEER INTERNATIONAL,Ducted,Single Split System,,2.75,0
MG-2-A/EH-2,PIONEER INTERNATIONAL,Ducted,Single Split System,,2.75,0
MG-2.5-A/EH-2.5,PIONEER INTERNATIONAL,Ducted,Single Split System,,2.75,0
MG-2.5-A/EH-2.5,PIONEER INTERNATIONAL,Ducted,Single Split System,,2.75,0
MG-3-A/EH3,PIONEER INTERNATIONAL,Ducted,Single Split System,,3.57,0
MG-3-A/EH3,PIONEER INTERNATIONAL,Ducted,Single Split System,,3.57,0
MG-4-A/EH-4,PIONEER INTERNATIONAL,Ducted,Single Split System,,4.65,0
MG-4-A/EH-4,PIONEER INTERNATIONAL,Ducted,Single Split System,,4.65,0
MG-5-A/EH-5,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.52,0
MG-5-A/EH-5,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.52,0
MG-6-A/EH-6,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.56,0
MG-6-A/EH-6,PIONEER INTERNATIONAL,Ducted,Single Split System,,5.56,0
ZAOC-7-D/EAOC-7,PIONEER INTERNATIONAL,Ducted,Single Split System,,6.1,0
ZAOC-8-D/EAOC-8,PIONEER INTERNATIONAL,Ducted,Single Split System,,7.2,0
ZS-10-D/EH-10,PIONEER INTERNATIONAL,Ducted,Single Split System,,8,0
ZS-12-D/EH-12,PIONEER INTERNATIONAL,Ducted,Single Split System,,10,0
ZS-7-D/EH-7,PIONEER INTERNATIONAL,Ducted,Single Split System,,6.1,0
ZS-8-D/EH-8,PIONEER INTERNATIONAL,Ducted,Single Split System,,7.2,0
