Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ASH12-DC,PIONEER,Non Ducted,Single Split System,Wall Hung,1.01,2
ASH18-DC,PIONEER,Non Ducted,Single Split System,Wall Hung,1.64,1.25
ASH24-DC,PIONEER,Non Ducted,Single Split System,,2.3,1.25
BH11,PIONEER,Ducted,Single Split System,,4,0
BH14,PIONEER,Ducted,Single Split System,,6.2,0
BH16,PIONEER,Ducted,Single Split System,,5.9,0
DC11,PIONEER,Ducted,Single Split System,,4,0
DC12,PIONEER,Ducted,Single Split System,,5.5,0
DC14,PIONEER,Ducted,Single Split System,,6.2,0
DC15,PIONEER,Ducted,Single Split System,,6.2,0
DC16,PIONEER,Ducted,Single Split System,,5.9,0
DC17,PIONEER,Ducted,Single Split System,,8,0
DC18,PIONEER,Ducted,Single Split System,,8,0
EH12/MG-12-D,PIONEER,Non Ducted,Single Split System,,10.63,0
EH12/MG-12-D-X,PIONEER,Non Ducted,Single Split System,,9.1,0
EH3/MG-3-D,PIONEER,Non Ducted,Single Split System,,3.52,0
EH3/MG-3-D-X,PIONEER,Non Ducted,Single Split System,,3.3,0
EH4/MG-4-D,PIONEER,Non Ducted,Single Split System,,4.41,0
EH4/MG-4-D-X,PIONEER,Non Ducted,Single Split System,,4.26,0
EH5/MG-5-D,PIONEER,Non Ducted,Single Split System,,5.33,0
EH5/MG-5-D-X,PIONEER,Non Ducted,Single Split System,,5.19,0
EH8/MG-8-D,PIONEER,Non Ducted,Single Split System,,7.7,0
EH8/MG-8-D-X,PIONEER,Non Ducted,Single Split System,,6.95,0
HTE-070A1/HTIO-070A1,PIONEER,Ducted,Single Split System,,2.41,1.5
HTE-100A1 / HTIO100A1,PIONEER,Ducted,Single Split System,,3.3,1.5
HTE-140A1/HTIO140A1,PIONEER,Ducted,Single Split System,,4.6,1.5
HTE-155A1/HTIO-155D1,PIONEER,Ducted,Single Split System,,5.25,1.5
PHW250,PIONEER,Ducted,Single Split System,,2.92,0
PHW300,PIONEER,Ducted,Single Split System,,2.92,0
SQ10,PIONEER,Ducted,Single Split System,,4,0
SQ11/DC11,PIONEER,Ducted,Single Split System,,4,0
SQ12/DC12,PIONEER,Ducted,Single Split System,,5.5,0
SQ14/DC14,PIONEER,Ducted,Single Split System,,6.2,0
SQ15/DC15,PIONEER,Ducted,Single Split System,,6.2,0
SQ16/DC16,PIONEER,Ducted,Single Split System,,5.9,0
SQ17,PIONEER,Ducted,Single Split System,,8,0
SQ18/SQ17/DC18/DC17,PIONEER,Ducted,Single Split System,,8,0
SQ19,PIONEER,Ducted,Single Split System,,8,0
SQ22,PIONEER,Ducted,Single Split System,,8.6,0
SQ7,PIONEER,Ducted,Single Split System,,2.92,0
SQ8/PHW300,PIONEER,Ducted,Single Split System,,2.92,0
SQ9/PHW400,PIONEER,Ducted,Single Split System,,3.7,0
