Model No,Brand,Control,Prog Name,Type,New CEC,New Star
RTP12,POPE,Ducted,Packaged,,3.932,0
RTP15,POPE,Ducted,Packaged,,5.189,0
RTP9,POPE,Ducted,Packaged,,3.14,0
SAC100 / DFC100,POPE,Ducted,Single Split System,,10.854,0
SAC120 / DFC120,POPE,Ducted,Single Split System,,11.921,0
SAC25 / DFC25,POPE,Ducted,Single Split System,,2.613,0
SAC25 / WM25,POPE,Non Ducted,Single Split System,,2.324,0
SAC32 / WM32,POPE,Non Ducted,Single Split System,,2.864,0
SAC32/ DFC32,POPE,Ducted,Single Split System,,3.14,0
SAC36 / DFC36,POPE,Ducted,Single Split System,,3.369,0
SAC36 / WM36,POPE,Non Ducted,Single Split System,,3.387,0
SAC40 / DFC40,POPE,Ducted,Single Split System,,3.836,0
SAC44 / DFC44,POPE,Ducted,Single Split System,,4.285,0
SAC50 / DFC50,POPE,Ducted,Single Split System,,5.189,0
SAC60 / DFC60,POPE,Ducted,Single Split System,,6.023,0
SAC70 / DFC70,POPE,Ducted,Single Split System,,8.232,0
