Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AUS-12H53F32x(I),PPACK,Non Ducted,Single Split System,,1.3,0
AUS-18HR53FG2,PPACK,Non Ducted,Single Split System,,1.96,0
AUS-24HR53Fa2,PPACK,Non Ducted,Single Split System,,2.5,0
PHA-26HR,PPACK,Ducted,Single Split System,,3.25,0
PHA-48HR,PPACK,Ducted,Single Split System,,5.51,0
PSB-09HR,PPACK,Non Ducted,Single Split System,,0.96,0
PSB-12HR,PPACK,Non Ducted,Single Split System,,1.2,0
PSB-18HR,PPACK,Non Ducted,Single Split System,,1.9,0
PSB-24HR,PPACK,Non Ducted,Single Split System,,2.5,0
PSB-26HR,PPACK,Non Ducted,Single Split System,,2.8,0
