Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KFR-23GW,PROMA,Non Ducted,Single Split System,,0.82,0
PCU-22HC03,PROMA,Non Ducted,Single Split System,,2.6,0
PRO-14DS,PROMA,Ducted,Single Split System,,5.05,0
PRO-14INDS,PROMA,Ducted,Single Split System,,5.07,0
PRO-15DIM,PROMA,Ducted,Single Split System,,4.48,2
PRO-15HEO3,PROMA,Non Ducted,Single Split System,Wall Hung,0.96,0
PRO-18DS,PROMA,Ducted,Single Split System,,6.08,0
PRO-18INDS,PROMA,Ducted,Single Split System,,6.15,0
PRO-25HEO3,PROMA,Non Ducted,Single Split System,Wall Hung,1.9,0
PRO-26C,PROMA,Non Ducted,Single Split System,Wall Hung,0.71,2.75
PRO-26HDO3,PROMA,Non Ducted,Single Split System,,0.95,0
PRO-27M,PROMA,Non Ducted,Single Split System,Wall Hung,0.75,2.5
PRO-30HCO3,PROMA,Non Ducted,Single Split System,Wall Hung,2.05,0
PRO-30HE03,PROMA,Non Ducted,Single Split System,Wall Hung,2.7,0
PRO-32IT,PROMA,Non Ducted,Single Split System,Wall Hung,0.84,3
PRO-32M,PROMA,Non Ducted,Single Split System,Wall Hung,0.91,2.5
PRO-35C,PROMA,Non Ducted,Single Split System,Wall Hung,0.935,2.75
PRO-50IT,PROMA,Non Ducted,Single Split System,Wall Hung,1.48,2
PRO-50T,PROMA,Non Ducted,Single Split System,Wall Hung,1.5,2
PRO-51M,PROMA,Non Ducted,Single Split System,Wall Hung,1.57,2
PRO-63M,PROMA,Non Ducted,Single Split System,Wall Hung,1.94,2
PRO-70T,PROMA,Non Ducted,Single Split System,Wall Hung,2.1,2
PRO-80IM,PROMA,Non Ducted,Single Split System,Wall Hung,2.46,2
PRO-80IT,PROMA,Non Ducted,Single Split System,Wall Hung,2.35,2
PRO-90M,PROMA,Non Ducted,Single Split System,Wall Hung,2.7,2
