Model No,Brand,Control,Prog Name,Type,New CEC,New Star
QFM09AR,QFLOW,Non Ducted,Single Split System,,0.96,0
QFM09RW,QFLOW,Non Ducted,Window Wall,,0.96,0
QFM12RW,QFLOW,Non Ducted,Window Wall,,1.31,0
QFM24AR,QFLOW,Non Ducted,Single Split System,Wall Hung,2.8,0
QFMD26FSCH,QFLOW,Non Ducted,Single Split System,Wall Hung,0.71,3
QFMD35FSCH,QFLOW,Non Ducted,Single Split System,Wall Hung,0.92,3
QFMD65FSCH,QFLOW,Non Ducted,Single Split System,Wall Hung,1.92,2
QFMD65FSCH-2015/QF2015-24HN1-QC6PW,QFLOW,Non Ducted,Single Split System,Wall Hung,1.94,2
QFNMR09-W,QFLOW,Non Ducted,Single Split System,Wall Hung,0.77,0
QFNMR12-410,QFLOW,Non Ducted,Single Split System,Wall Hung,0.92,2.5
QFNMR12-W,QFLOW,Non Ducted,Single Split System,Wall Hung,1.05,0
QFNMR18-410,QFLOW,Non Ducted,Single Split System,Wall Hung,1.6,2
QFNMR21-410,QFLOW,Non Ducted,Single Split System,Wall Hung,1.94,2
