Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KFR-25GW,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,0.95,0
KFR-25GW/QAA-25RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,0.95,0
KFR-25GW/QAA-25RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,0.95,0
KFR-36GW/QAA-36RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,1.15,0
KFR-36GW/QAA-36RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,1.15,0
KFR-51GW,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,2.05,0
KFR-51GW/QAA-51RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,2.05,0
KFR-51GW/QAA-51RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,2.05,0
KFR-61GW/QAA-61RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,2.32,0
KFR-61GW/QAA-61RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,2.32,0
KFR-66GW,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,2.65,0
KFR-66GW/QAA-66RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,2.65,0
QAA-66RS,QUICK AIR AUSTRALIA,Non Ducted,Single Split System,,2.65,0
