Model No,Brand,Control,Prog Name,Type,New CEC,New Star
REA14,RHEEM,Ducted,Single Split System,,4.7,0
REA15,RHEEM,Ducted,Single Split System,,5.3,0
REA16.5,RHEEM,Ducted,Single Split System,,5.62,0
REA18,RHEEM,Ducted,Single Split System,,6.21,0
REA20,RHEEM,Ducted,Single Split System,,6.41,0
REA22,RHEEM,Ducted,Single Split System,,6.941,0
REA25,RHEEM,Ducted,Single Split System,,7.971,0
REA27,RHEEM,Ducted,Single Split System,,8.87,0
REBA0150,RHEEM,Ducted,Single Split System,,3.958,0
REBA0150S,RHEEM,Ducted,Single Split System,,3.958,0
REBA0180,RHEEM,Ducted,Single Split System,,4.782,0
REBA0200,RHEEM,Ducted,Single Split System,,5.5,0
REBA0200S,RHEEM,Ducted,Single Split System,,5.5,0
REBA0230,RHEEM,Ducted,Single Split System,,6.289,0
REBA0260,RHEEM,Ducted,Single Split System,,7.039,0
REEA10,RHEEM,Ducted,Single Split System,,3.31,0
REEA13,RHEEM,Ducted,Single Split System,,4.6,0
REEA15.5,RHEEM,Ducted,Single Split System,,5.17,0
REEA18.5,RHEEM,Ducted,Single Split System,,6.29,0
REEA7,RHEEM,Ducted,Single Split System,,2.24,0
RGEA10,RHEEM,Ducted,Single Split System,,3.31,0
RGEA13,RHEEM,Ducted,Single Split System,,4.6,0
RGEA15.5,RHEEM,Ducted,Single Split System,,5.17,0
RGEA18.5,RHEEM,Ducted,Single Split System,,6.29,0
RGEA7,RHEEM,Ducted,Single Split System,,2.24,0
