Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KFR-60GW/HBP,SAIR,Non Ducted,Single Split System,Wall Hung,2,0
MUB-18HRDN1,SAIR,Non Ducted,Single Split System,Floor/Ceiling,1.55,0
SFC-18,SAIR,Non Ducted,Single Split System,Floor Mounted,1.57,1.25
SFC-18,SAIR,Non Ducted,Single Split System,Wall Hung,1.57,1.25
SGT-09,SAIR,Non Ducted,Single Split System,Wall Hung,0.54,4.5
SGT-09,SAIR,Non Ducted,Single Split System,Wall Hung,0.54,4.5
SGT-12,SAIR,Non Ducted,Single Split System,Wall Hung,0.91,3
SGT-12,SAIR,Non Ducted,Single Split System,Wall Hung,0.91,3
SGT-18,SAIR,Non Ducted,Single Split System,Wall Hung,1.51,2.25
SGT-18,SAIR,Non Ducted,Single Split System,Wall Hung,1.51,2.25
SSV-18,SAIR,Non Ducted,Single Split System,Wall Hung,1.47,2.5
SSV-24,SAIR,Non Ducted,Single Split System,Wall Hung,1.94,2.25
SV1-12HRDN1,SAIR,Non Ducted,Single Split System,Wall Hung,1.05,0
SV1-12HRN1,SAIR,Non Ducted,Single Split System,Wall Hung,1.12,0
SV1-18HRN1,SAIR,Non Ducted,Single Split System,Wall Hung,1.65,0
SV1-22HRDN1,SAIR,Non Ducted,Single Split System,Wall Hung,2.17,0
SV1-24HRDN1,SAIR,Non Ducted,Single Split System,Wall Hung,2.23,0
