Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 AC052HBHFKH/AC052HCAFKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,1.32,0
 AC052HBHPKH/AC052HCAPKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,1.4,0
 AQV09TWSN/AQV09TWSX,SAMSUNG ELECTRONICS,Non Ducted,Single Split System,Wall Hung,0.56,4.25
 AQV12TWSN/AQV12TWSX,SAMSUNG ELECTRONICS,Non Ducted,Single Split System,Wall Hung,0.92,3.25
 AQV18TWSN/AQV18TWSX,SAMSUNG ELECTRONICS,Non Ducted,Single Split System,Wall Hung,1.4,2.5
AC071HBHFKH/AC071HCAFKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,2.01,0
AC071HBHPKH/AC071HCAPKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,2,0
AC090HBHFKH/AC090HCAFKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,2.6,0
AC090HBHPKH/AC090HCAPKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,2.43,0
AC100HBHFKH/AC100HCAFKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,2.57,0
AC100HBHFKH/AC100HCAFNH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,2.57,0
AC120HBHFKH/AC120HCAFKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,3.5,0
AC120HBHFKH/AC120HCAFNH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,3.5,0
AC140HBHFKH/ AC140HCAFKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,4.12,0
AC140HBHFKH/ AC140HCAFNH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,4.12,0
AC160JNHFKH/AC160JXAFKH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,4.71,0
AC160JNHFKH/AC160JXAFNH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,4.71,0
AC180JNHFKH/AC180JXAFNH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,5.29,0
AC200JNHFKH/AC200JXAFNH,SAMSUNG ELECTRONICS,Ducted,Single Split System,,6.06,0
ACN026NDEHH/RC026DHXEH,SAMSUNG ELECTRONICS,Non Ducted,Single Split System,Cassette,0.65,2.75
ACN035NDEHH/RC035DHXEH,SAMSUNG ELECTRONICS,Non Ducted,Single Split System,Cassette,0.94,3.5
ACN052NDEHH/RC052DHXEH,SAMSUNG ELECTRONICS,Non Ducted,Single Split System,Cassette,1.39,2.75
ACN060NDEHH/RC060DHXEH,SAMSUNG ELECTRONICS,Non Ducted,Single Split System,Cassette,1.75,2
AM040FXMDEH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,3.25,0
AM040FXMDGH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,3.25,0
AM050FXMDEH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,4.16,0
AM050FXMDGH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,4.16,0
AM060FXMDEH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,4.79,0
AM060FXMDGH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,4.79,0
AM080FXMDGH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,6.56,0
AM080FXVAGH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,5.84,0
AM080FXVAGR,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,5.84,0
AM100FXVAGH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,7.85,0
AM100FXVAGR,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,7.85,0
AM120FXVAGH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,9.66,0
AM120FXVAGR,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,9.66,0
AM140FXVAGH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,10.37,0
AM140FXVAGR,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,10.37,0
AM160FXVAGH,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,12.51,0
AM160FXVAGR,SAMSUNG ELECTRONICS,Ducted,Multiple split - VRF,,12.51,0
