Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AQ09A1VE,SAMSUNG,Non Ducted,Single Split System,,0.91,0
AQ12A1VE,SAMSUNG,Non Ducted,Single Split System,,1.2,0
AS09A1VE,SAMSUNG,Non Ducted,Single Split System,,0.89,0
AS09BPAN/AS09BPAX,SAMSUNG,Non Ducted,Single Split System,,0.61,0
AS09HM1,SAMSUNG,Non Ducted,Single Split System,,0.97,0
AS12A1VE,SAMSUNG,Non Ducted,Single Split System,,1.19,0
AS12BPAN/AS12BPAX,SAMSUNG,Non Ducted,Single Split System,,1.03,0
AS12HM1,SAMSUNG,Non Ducted,Single Split System,,1.22,0
AS24BPAN/AS24BPAX,SAMSUNG,Non Ducted,Single Split System,,2.26,0
AS24HM1,SAMSUNG,Non Ducted,Single Split System,,2.6,0
AW-0706E,SAMSUNG,Non Ducted,Window Wall,,0.79,0
AW-0905E,SAMSUNG,Non Ducted,Window Wall,,1.03,0
AW-1808E,SAMSUNG,Non Ducted,Window Wall,,2.01,0
AW05DOPE,SAMSUNG,Non Ducted,Window Wall,,0.75,0
AW05M0YEA,SAMSUNG,Non Ducted,Window Wall,,0.58,0
AW05M0YEA,SAMSUNG,Non Ducted,Window Wall,,0.58,0
AW05M0YEB,SAMSUNG,Non Ducted,Window Wall,,0.58,0
AW07FOSEA,SAMSUNG,Non Ducted,Window Wall,,0.75,0
AW07P1HEA,SAMSUNG,Non Ducted,Window Wall,,0.75,0
AW09F0NEA,SAMSUNG,Non Ducted,Window Wall,,0.97,0
AW09FOSEA,SAMSUNG,Non Ducted,Window Wall,,1,0
AW09P1HEA,SAMSUNG,Non Ducted,Window Wall,,0.92,0
AW121JE,SAMSUNG,Non Ducted,Window Wall,,1.34,0
AW12FIJEA,SAMSUNG,Non Ducted,Window Wall,,1.34,0
AW18FIMEA,SAMSUNG,Non Ducted,Window Wall,,2.06,0
AW18P1HEA,SAMSUNG,Non Ducted,Window Wall,,1.85,0
AW22FIMEA,SAMSUNG,Non Ducted,Window Wall,,2.5,0
AWH-1808E,SAMSUNG,Non Ducted,Window Wall,,2.13,0
AWH090ZE,SAMSUNG,Non Ducted,Window Wall,,1.01,0
AWH090ZE,SAMSUNG,Non Ducted,Window Wall,,1.01,0
AWH120JE,SAMSUNG,Non Ducted,Window Wall,,1.36,0
AWH1808E,SAMSUNG,Non Ducted,Window Wall,,4.55,0
AZ091KE/AWH090ZE,SAMSUNG,Non Ducted,Window Wall,,1.01,0
AZ09PHHEA,SAMSUNG,Non Ducted,Window Wall,,0.93,0
AZ18F1MEA,SAMSUNG,Non Ducted,Window Wall,,2.28,0
AZI2FIJEA,SAMSUNG,Non Ducted,Window Wall,,1.36,0
AZI8FIMEA,SAMSUNG,Non Ducted,Window Wall,,2.18,0
CH070EAV/UH070EAV,SAMSUNG,Non Ducted,Single Split System,Cassette,2.21,0
CH105EZM1/UH105GZMC,SAMSUNG,Non Ducted,Single Split System,,3.65,0
CH128EZM1/UH128GZMC,SAMSUNG,Non Ducted,Single Split System,,4.9,0
CH140EZM1/UH140GZMC,SAMSUNG,Non Ducted,Single Split System,,4.95,0
DH070EZM/UH070EZMC,SAMSUNG,Ducted,Single Split System,,2.5,0
DH105GZM/UH105GZM1C,SAMSUNG,Ducted,Single Split System,,3.9,0
DH140GZM/UH140GZM1C,SAMSUNG,Ducted,Single Split System,,5,0
DH175GZM/UH175GZMC,SAMSUNG,Ducted,Single Split System,,5.7,0
EH052EAV/UH052EAV,SAMSUNG,Ducted,Single Split System,,1.66,0
EH070EAV/UH070EAV,SAMSUNG,Ducted,Single Split System,,2.28,0
EH070EZMC/UH070EZM1C,SAMSUNG,Ducted,Single Split System,,2.55,0
HH105EZM1/UH105GZMC,SAMSUNG,Ducted,Single Split System,,4.05,0
HH128EZM1/UH128GZMC,SAMSUNG,Ducted,Single Split System,,5.3,0
HH140EZM1/UH140GZMC,SAMSUNG,Ducted,Single Split System,,5.3,0
HH175EZM/UH175GZM,SAMSUNG,Ducted,Single Split System,,5.6,0
SC09ZA8,SAMSUNG,Non Ducted,Single Split System,,1.01,0
SC09ZK8,SAMSUNG,Non Ducted,Single Split System,,1.02,0
SC09ZP8A,SAMSUNG,Non Ducted,Single Split System,,1.02,0
SC09ZW8,SAMSUNG,Non Ducted,Single Split System,,1.05,0
SC12ZA6,SAMSUNG,Non Ducted,Single Split System,,1.26,0
SC18ZA6,SAMSUNG,Non Ducted,Single Split System,,1.98,0
SC18ZAS,SAMSUNG,Non Ducted,Single Split System,,1.98,0
SC24TA1,SAMSUNG,Non Ducted,Single Split System,,2.7,0
SC24TA6,SAMSUNG,Non Ducted,Single Split System,,2.7,0
SC24TA8,SAMSUNG,Non Ducted,Single Split System,,2.7,0
SC24TK6,SAMSUNG,Non Ducted,Single Split System,,2.6,0
SC24TP6A,SAMSUNG,Non Ducted,Single Split System,,2.6,0
SC24ZW6,SAMSUNG,Non Ducted,Single Split System,,2.65,0
SC30ZC2,SAMSUNG,Non Ducted,Single Split System,,3.44,0
SH09BPH,SAMSUNG,Non Ducted,Single Split System,,0.9,0
SH09BWHA/SH09BWHAX,SAMSUNG,Non Ducted,Single Split System,Wall Hung,0.73,0
SH09ZA8,SAMSUNG,Non Ducted,Single Split System,,1.01,0
SH09ZK8,SAMSUNG,Non Ducted,Single Split System,,1.04,0
SH09ZP2A,SAMSUNG,Non Ducted,Single Split System,,1,0
SH09ZP8A,SAMSUNG,Non Ducted,Single Split System,,1.04,0
SH09ZW8,SAMSUNG,Non Ducted,Single Split System,,1.05,0
SH09ZWH,SAMSUNG,Non Ducted,Single Split System,,1,0
SH12BPH,SAMSUNG,Non Ducted,Single Split System,,1.1,0
SH12BWHA/SH12BWHAX,SAMSUNG,Non Ducted,Single Split System,Wall Hung,1.1,0
SH12ZA6,SAMSUNG,Non Ducted,Single Split System,,1.27,0
SH12ZKG,SAMSUNG,Non Ducted,Single Split System,,1.23,0
SH12ZP4A,SAMSUNG,Non Ducted,Single Split System,,1.2,0
SH12ZWH,SAMSUNG,Non Ducted,Single Split System,,1.2,0
SH12ZWHD,SAMSUNG,Non Ducted,Single Split System,,1.25,0
SH18ZA6,SAMSUNG,Non Ducted,Single Split System,,1.91,0
SH18ZAS,SAMSUNG,Non Ducted,Single Split System,,1.91,0
SH18ZP0A,SAMSUNG,Non Ducted,Single Split System,,1.85,0
SH18ZP0D,SAMSUNG,Non Ducted,Single Split System,,1.95,0
SH24BPF/SH24BPFX,SAMSUNG,Non Ducted,Single Split System,,2.6,0
SH24BW2/SH24BW2X,SAMSUNG,Non Ducted,Single Split System,Wall Hung,2.26,0
SH24TA6,SAMSUNG,Non Ducted,Single Split System,,2.68,0
SH24TA8,SAMSUNG,Non Ducted,Single Split System,,2.68,0
SH24TAI,SAMSUNG,Non Ducted,Single Split System,,2.68,0
SH24TK6,SAMSUNG,Non Ducted,Single Split System,,2.55,0
SH24TP6A,SAMSUNG,Non Ducted,Single Split System,,2.55,0
SH24ZP6B,SAMSUNG,Non Ducted,Single Split System,,2.63,0
SH24ZS6A,SAMSUNG,Non Ducted,Single Split System,,2.63,0
SH24ZW6,SAMSUNG,Non Ducted,Single Split System,,2.6,0
SH30ZC2,SAMSUNG,Non Ducted,Single Split System,,3.43,0
TH052EAV/UH052EAV,SAMSUNG,Non Ducted,Single Split System,Cassette,1.51,0
TH060EAV/UH060EAV,SAMSUNG,Non Ducted,Single Split System,Cassette,1.93,0
