Model No,Brand,Control,Prog Name,Type,New CEC,New Star
SA-123A,SANYO,Non Ducted,Window Wall,,1.44,0
SA-123AH,SANYO,Non Ducted,Window Wall,,1.45,0
SA-183A,SANYO,Non Ducted,Window Wall,,2.22,0
SA-183AH,SANYO,Non Ducted,Window Wall,,2.2,0
SA-93A,SANYO,Non Ducted,Window Wall,,1.07,0
SA-93AH,SANYO,Non Ducted,Window Wall,,1.05,0
SAP-KC121AA,SANYO,Non Ducted,Single Split System,,1.29,0
SAP-KC121AHA,SANYO,Non Ducted,Single Split System,,1.35,0
SAP-KC122A,SANYO,Non Ducted,Single Split System,,1.29,0
SAP-KC122AH,SANYO,Non Ducted,Single Split System,,1.35,0
SAP-KC181AA,SANYO,Non Ducted,Single Split System,,2.18,0
SAP-KC181AHA,SANYO,Non Ducted,Single Split System,,2.36,0
SAP-KC182A,SANYO,Non Ducted,Single Split System,,2.13,0
SAP-KC182AH,SANYO,Non Ducted,Single Split System,,2.29,0
SAP-KC241AA,SANYO,Non Ducted,Single Split System,,2.83,0
SAP-KC241AHA,SANYO,Non Ducted,Single Split System,,2.98,0
SAP-KC242AH,SANYO,Non Ducted,Single Split System,,2.85,0
SAP-KC252A,SANYO,Non Ducted,Single Split System,,2.8,0
SAP-KC301A,SANYO,Non Ducted,Single Split System,,3.1,0
SAP-KC302A,SANYO,Non Ducted,Single Split System,,3.1,0
SAP-KC302AH,SANYO,Non Ducted,Single Split System,,3.1,0
SAP-KC91AA,SANYO,Non Ducted,Single Split System,,0.93,0
SAP-KC91AHA,SANYO,Non Ducted,Single Split System,,1.02,0
SAP-KC92A,SANYO,Non Ducted,Single Split System,,0.93,0
SAP-KC92AH,SANYO,Non Ducted,Single Split System,,1.02,0
SAP-KCR123GJ,SANYO,Non Ducted,Single Split System,,1.22,0
SAP-KCR123GJH,SANYO,Non Ducted,Single Split System,,1.27,0
SAP-KCR184GJH,SANYO,Non Ducted,Single Split System,,1.65,0
SAP-KCR224GJH,SANYO,Non Ducted,Single Split System,,2.275,0
SAP-KCR93GJ,SANYO,Non Ducted,Single Split System,,0.97,0
SAP-KCR93GJH,SANYO,Non Ducted,Single Split System,,1,0
SAP-KCRV243GJ,SANYO,Non Ducted,Single Split System,,1.95,0
SAP-KCRV243GJH,SANYO,Non Ducted,Single Split System,,1.95,0
SAP-KCRV303GJ,SANYO,Non Ducted,Single Split System,,2.65,0
SAP-KCRV303GJH,SANYO,Non Ducted,Single Split System,,2.65,0
SAP-KCRV303GJH,SANYO,Non Ducted,Single Split System,,2.65,0
SAP-KCV124GJ,SANYO,Non Ducted,Single Split System,,1.14,0
SAP-KCV124GJH,SANYO,Non Ducted,Single Split System,,1.14,0
SAP-KCV94GJ,SANYO,Non Ducted,Single Split System,,0.8,0
SAP-KCV94GJH,SANYO,Non Ducted,Single Split System,,0.8,0
SPW-**363GH*56/SPW-C363GH8,SANYO,Non Ducted,Packaged,,3.47,0
SPW-**483GH*56/SPW-C483GH8,SANYO,Non Ducted,Packaged,,5.63,0
SPW-*363G*56/SPW-C363G8,SANYO,Non Ducted,Packaged,,3.5,0
SPW-*483G*56/SPW-C483G8,SANYO,Non Ducted,Packaged,,5.43,0
SPW-*C253G8,SANYO,Ducted,Single Split System,,2.81,0
SPW-*C253GH8,SANYO,Ducted,Window Wall,,3.2,0
SPW-D241GH5TU/SPW-C241GH5TU,SANYO,Non Ducted,Single Split System,,2.55,0
SPW-D361GH5TU/SPW-C361GH5TU,SANYO,Non Ducted,Single Split System,,3.7,0
SPW-DC481GH5/8TU,SANYO,Ducted,Single Split System,,4.55,0
SPW-DR483AH56/SPW-C483AH8,SANYO,Ducted,Single Split System,,5.25,0
SPW-DR483AH56/SPW-C483AH8,SANYO,Ducted,Single Split System,,5.25,0
SPW-TR483AH56/SPW-C483AH8,SANYO,Non Ducted,Single Split System,,5.13,0
SPW-TR483AH56/SPW-C483AH8,SANYO,Non Ducted,Single Split System,,5.13,0
SPW-XDR364GH56/SPW-CR364AVH56,SANYO,Non Ducted,Single Split System,,3.45,0
SPW-XR483AHN56/SPW-C483AH8,SANYO,Non Ducted,Single Split System,,5.03,0
SPW-XR483AHN56/SPW-C483AH8,SANYO,Non Ducted,Single Split System,,5.03,0
SPW-XR484A56/SPW-C483A8,SANYO,Non Ducted,Single Split System,,4.86,0
SPW-XR484AS56/SPW-C483A8,SANYO,Non Ducted,Single Split System,,4.86,0
