Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AC09RMCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,0.61,4
AC09RMCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,0.61,3.5
AC09RNCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,0.67,3
AC12RMCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,1,2
AC12RNCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,0.9,3
AC18RMCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,1.54,1.75
AC18RMCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,1.54,2
AC18RNCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,1.52,2
AC24RMCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,2,1.75
AC24RNCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,2,2
AC28RMCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,2.66,1.25
AC28RMCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,2.66,1
AC28RNCSYS,SHARP,Non Ducted,Single Split System,Wall Hung,2.39,2
AC48LZSYS,Sharp,Non Ducted,Single Split System,Wall Hung,0.99,2.25
AC60LZSYS,Sharp,Non Ducted,Single Split System,Wall Hung,1.47,2.25
AH-A189J/AU-A189J,SHARP,Non Ducted,Single Split System,,2.17,0
AH-A249J/AU-A249J,SHARP,Non Ducted,Single Split System,,3,0
AY-A099J/AE-A099J,SHARP,Non Ducted,Single Split System,,0.98,0
AY-A09CJ / AE-A09CJ,SHARP,Non Ducted,Single Split System,,0.93,0
AY-A09CJ/AE-A09CJ,SHARP,Non Ducted,Single Split System,,0.93,0
AY-A129J/AE-A129J,SHARP,Non Ducted,Single Split System,,1.38,0
AY-A129J/AE-A129J,SHARP,Non Ducted,Single Split System,Wall Hung,1.38,0
AY-A12CJ / AE-A12CJ,SHARP,Non Ducted,Single Split System,,1.35,0
AY-A12CJ/AE-A12CJ,SHARP,Non Ducted,Single Split System,,1.35,0
AY-A184J/AE-A184J,SHARP,Non Ducted,Single Split System,,2.22,0
AY-A189J/AE-A189J,SHARP,Non Ducted,Single Split System,,2.17,0
AY-A244J/AE-A244J,SHARP,Non Ducted,Single Split System,,2.93,0
AY-A249J/AE-A249J,SHARP,Non Ducted,Single Split System,,3,0
AY-AP09DJ / AE-AP09DJ,SHARP,Non Ducted,Single Split System,,0.93,0
AY-AP09DJ/AE-A09DJ,SHARP,Non Ducted,Single Split System,,0.93,0
AY-AP12EJ / AE-A12EJ,SHARP,Non Ducted,Single Split System,,1.35,0
AY-AP18CJ/AE-A18CJ,SHARP,Non Ducted,Single Split System,,2.17,0
AY-AP18EJ / AE-A18EJ,SHARP,Non Ducted,Single Split System,,2.16,0
AY-AP24CJ/AE-A24CJ,SHARP,Non Ducted,Single Split System,,3,0
AY-AP24EJ / AE-A24EJ,SHARP,Non Ducted,Single Split System,,2.75,0
AY-X099J/AE-X099J,SHARP,Non Ducted,Single Split System,,1.18,0
AY-X127J/AE-X127J,SHARP,Non Ducted,Single Split System,,1.72,0
AY-XP30EJ / AE-X30EJ,SHARP,Non Ducted,Single Split System,,3.2,0
