Model No,Brand,Control,Prog Name,Type,New CEC,New Star
APC012HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,3.5,0
APC012VA3A,SPECIALIZED ENGINEERING,Ducted,Packaged,,3.5,0
APC015HA3B,Specialized Engineering,Ducted,Packaged,,4.2,0
APC015VA3A,SPECIALIZED ENGINEERING,Ducted,Packaged,,4.3,0
APC018HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,5,0
APC018VA3A,SPECIALIZED ENGINEERING,Ducted,Packaged,,5.1,0
APC020HA3B,Specialized Engineering,Ducted,Packaged,,5.7,0
APC020VA3A,Specialized Engineering,Ducted,Packaged,,5.9,0
APC023HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,6.9,0
APC023VA3A,SPECIALIZED ENGINEERING,Ducted,Packaged,,6.95,0
APC024HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,7,0
APC024VA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,7,0
APC030HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,8.4,0
APC030VA3A,Specialized Engineering,Ducted,Packaged,,8.818,0
APC035HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,9.812,0
APC035VA3A,Specialized Engineering,Ducted,Packaged,,9.906,0
APC040HA3B,Specialized Engineering,Ducted,Packaged,,12.09,0
APC040VA3A,SPECIALIZED ENGINEERING,Ducted,Packaged,,11.73,0
APC045HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,14.26,0
APC055HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,17.288,0
APC065HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,19.48,0
APH012HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,3.5,0
APH015HA3B,Specialized Engineering,Ducted,Packaged,,4.2,0
APH018HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,5,0
APH020HA3B,Specialized Engineering,Ducted,Packaged,,5.7,0
APH023HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,6.9,0
APH024HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,7,0
APH024VA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,7,0
APH024VA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,7,0
APH030HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,8.4,0
APH035HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,9.812,0
APH040HA3B,Specialized Engineering,Ducted,Packaged,,12.09,0
APH045HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,14.26,0
APH045VA3A,SPECIALIZED ENGINEERING,Ducted,Packaged,,13.84,0
APH055HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,17.288,0
APH065HA3B,SPECIALIZED ENGINEERING,Ducted,Packaged,,19.48,0
ASCE012HA1A/ASCC012VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,3.5,0
ASCE015HA1A/ASCC015VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,4.2,0
ASCE018HA1A/ASCC018VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,5,0
ASCE020HA1A/ASCC020VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,5.7,0
ASCE023HA1A/ASCC023VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,6.9,0
ASCE024HA3A/ASCC024VA3A ,SPECIALIZED ENGINEERING,Ducted,Single Split System,,7,0
ASCE024VA3A/ASCC024HA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,7,0
ASCE035HA3A - ASCC035VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,9.82,0
ASCE035VA3A/ASCC035HA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,9.92,0
ASCE045VA3A/ASCC045HA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,13.84,0
ASCE055HA3A/ASCC055VA3A ,SPECIALIZED ENGINEERING,Ducted,Single Split System,,17.22,0
ASCE065HA3A/ASCC065VA3A ,SPECIALIZED ENGINEERING,Ducted,Single Split System,,19.48,0
ASCE30HA3A-ASCC030VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,8.404,0
ASCE30VA3A-ASCC030HA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,8.624,0
ASCE45HA3A-ASCC045VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,14.266,0
ASHC040VA3A/ASHC040HA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,11.71,0
ASHE012HA1A/ASHC012VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,3.5,0
ASHE015HA1A/ASHC015VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,4.2,0
ASHE018HA1A/ASHC018VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,5,0
ASHE020HA1A/ASHC020VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,5.7,0
ASHE023HA1A/ASHC023VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,6.9,0
ASHE024HA3A/ASHC024VA3A ,SPECIALIZED ENGINEERING,Ducted,Single Split System,,7,0
ASHE024VA3A/ASHC024HA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,7,0
ASHE035VA3A/ASHC035HA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,9.92,0
ASHE040HA3A/ASHC040VA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,12.09,0
ASHE040VA3A/ASHE040HA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,11.71,0
ASHE045VA3A/ASHC045HA3A,SPECIALIZED ENGINEERING,Ducted,Single Split System,,13.84,0
ASHE055HA3A/ASHC055VA3A ,SPECIALIZED ENGINEERING,Ducted,Single Split System,,17.22,0
