Model No,Brand,Control,Prog Name,Type,New CEC,New Star
FR95,STARWAY,Ducted,Single Split System,,4.3,0
KFR-22GW,STARWAY,Non Ducted,Single Split System,,0.82,0
KFR-25GW,STARWAY,Non Ducted,Single Split System,,1.02,0
KFR-32GW,STARWAY,Non Ducted,Window Wall,,1.22,0
KFR-35GW,STARWAY,Non Ducted,Single Split System,,1.3,0
KFR-40GW,STARWAY,Non Ducted,Single Split System,,1.51,0
KFR-60GW/KFR-22GW,STARWAY,Non Ducted,Single Split System,,2.31,0
KFR-70GW/KFR-24GW,STARWAY,Non Ducted,Single Split System,,2.72,0
KFR-70GW/KFR-24GW,STARWAY,Non Ducted,Single Split System,,2.72,0
KFR-85GW,STARWAY,Non Ducted,Single Split System,,3.4,0
TSC/TSF17.0,STARWAY,Ducted,Single Split System,,5.8,0
TSC/TSF9.5 (FR95),STARWAY,Ducted,Single Split System,,4.3,0
TSC7.5/TSF7.5,STARWAY,Ducted,Single Split System,,2.88,0
