Model No,Brand,Control,Prog Name,Type,New CEC,New Star
TAC-09CHS/G,TCL,Non Ducted,Single Split System,,0.9,0
TAC-09CHS/G,TCL,Non Ducted,Single Split System,,0.9,0
TAC-09CHS/GM2,TCL,Non Ducted,Single Split System,Wall Hung,0.8,0
TAC-09CHS/K,TCL,Non Ducted,Single Split System,,0.9,0
TAC-09CHS/K,TCL,Non Ducted,Single Split System,,0.9,0
TAC-09CHS/R,TCL,Non Ducted,Single Split System,,0.9,0
TAC-09CHSA/**IFO,TCL,Non Ducted,Single Split System,Wall Hung,0.67,3.75
TAC-09CHSA/*I(*=A;C;D;E;F;G;H;J;K;L;M;N;Q;R;Y;V;Z;BE;BF;BG;BH;BJ;BM;BK;BQ;BR;BV;BU;BY;BZ),TCL,Non Ducted,Single Split System,Wall Hung,0.73,2.5
TAC-09CHSA/A4 ,TCL,Non Ducted,Single Split System,Wall Hung,0.72,2.75
TAC-09CHSA/AI5,TCL,Non Ducted,Single Split System,Wall Hung,0.52,4
TAC-09CHSA/AK4 ,TCL,Non Ducted,Single Split System,Wall Hung,0.72,2.75
TAC-09CHSA/AKI5,TCL,Non Ducted,Single Split System,Wall Hung,0.52,4
TAC-09CHSA/AKI5,TCL,Non Ducted,Single Split System,Wall Hung,0.52,4
TAC-09CHSA/AL4 ,TCL,Non Ducted,Single Split System,Wall Hung,0.72,2.75
TAC-09CHSA/ALI5,TCL,Non Ducted,Single Split System,Wall Hung,0.52,4
TAC-09CHSA/AM4 ,TCL,Non Ducted,Single Split System,Wall Hung,0.72,2.75
TAC-09CHSA/AMI5,TCL,Non Ducted,Single Split System,Wall Hung,0.52,4
TAC-09CHSA/AU4 ,TCL,Non Ducted,Single Split System,Wall Hung,0.72,2.75
TAC-09CHSA/AUI5,TCL,Non Ducted,Single Split System,Wall Hung,0.52,4
TAC-09CHSA/BD4 ,TCL,Non Ducted,Single Split System,Wall Hung,0.72,2.75
TAC-09CHSA/BDI5,TCL,Non Ducted,Single Split System,Wall Hung,0.52,4
TAC-09CHSA/BE4 ,TCL,Non Ducted,Single Split System,Wall Hung,0.72,2.75
