Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LA0700Y,Teco,Non Ducted,Window Wall,,0.78,0
LA0702Y,Teco,Non Ducted,Window Wall,,0.8,0
LA0710Y,Teco,Non Ducted,Window Wall,,0.76,0
LA0712Y,Teco,Non Ducted,Window Wall,,0.81,0
LA0808Y,Teco,Non Ducted,Window Wall,Wall Hung,0.81,0
LA0818Y,Teco,Non Ducted,Window Wall,Wall Hung,0.81,0
LA0900Y,Teco,Non Ducted,Window Wall,,1,0
LA0901Y,Teco,Non Ducted,Window Wall,,1,0
LA0905Y,Teco,Non Ducted,Window Wall,,0.98,0
LA0908Y,Teco,Non Ducted,Window Wall,,0.94,0
LA0910Y,Teco,Non Ducted,Window Wall,,1.03,0
LA0912Y,Teco,Non Ducted,Window Wall,,0.98,0
LA0918Y,Teco,Non Ducted,Window Wall,,0.94,0
LA1200Y,Teco,Non Ducted,Window Wall,,1.4,0
LA1201Y,Teco,Non Ducted,Window Wall,,1.3,0
LA1202Y,Teco,Non Ducted,Window Wall,,1.45,0
LA1206Y,Teco,Non Ducted,Window Wall,,1.3,0
LA1208Y,Teco,Non Ducted,Window Wall,Wall Hung,1.23,0
LA1208Y,Teco,Non Ducted,Window Wall,,1.23,0
LA1210Y,Teco,Non Ducted,Window Wall,,1.4,0
LA1211Y,Teco,Non Ducted,Window Wall,,1.3,0
LA1218Y,Teco,Non Ducted,Window Wall,Wall Hung,1.23,0
LA1218Y,Teco,Non Ducted,Window Wall,,1.23,0
LA1602Y,Teco,Non Ducted,Window Wall,,1.74,0
LA1800Y,Teco,Non Ducted,Window Wall,,1.8,0
LA1808Y,Teco,Non Ducted,Window Wall,,1.75,0
LA1810Y,Teco,Non Ducted,Window Wall,,1.8,0
LA2300Y,Teco,Non Ducted,Window Wall,,2.76,0
LA2308YS,Teco,Non Ducted,Window Wall,,2.1,0
LA2310Y,Teco,Non Ducted,Window Wall,,2.8,0
LA2318YS,Teco,Non Ducted,Window Wall,,2.1,0
