Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LE4511H / LT4511H,TECOAIR,Ducted,Single Split System,,4.1,0
LE4511HF / LE4511H,TECOAIR,Ducted,Single Split System,,4.1,0
LE6017H / LU6017H,TECOAIR,Ducted,Single Split System,,6.47,0
LL4311HA / LT4311HA,TECOAIR,Non Ducted,Single Split System,Cassette,4.2,0
LL4512H / LU4512H,TECOAIR,Non Ducted,Single Split System,Cassette,4.5,0
LL5514HA / LU5514HA,TECOAIR,Non Ducted,Single Split System,Cassette,5.4,0
LS-LT2422YPS,TECOAIR,Non Ducted,Single Split System,,3,0
LS0909Y / LT0909Y,TECOAIR,Non Ducted,Single Split System,Wall Hung,0.77,0
LS1209Y / LT1209Y,TECOAIR,Non Ducted,Single Split System,Wall Hung,1.05,0
LS1219Y / LT1219Y,TECOAIR,Non Ducted,Single Split System,Wall Hung,1.05,0
LS1809Y / LT1809Y,TECOAIR,Non Ducted,Single Split System,Wall Hung,1.7,0
LS2409Y / LT2409YS,TECOAIR,Non Ducted,Single Split System,Wall Hung,2.1,0
LS3009YS / LT3009YS,TECOAIR,Non Ducted,Single Split System,Wall Hung,3.34,0
LS3009YS / LT3009YS,TECOAIR,Non Ducted,Single Split System,Wall Hung,3.34,0
LS3019YS / LT3019YS,TECOAIR,Non Ducted,Single Split System,Wall Hung,3.25,0
LS3019YS / LT3019YS,TECOAIR,Non Ducted,Single Split System,Wall Hung,3.25,0
