Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CISD0063/OSA65,TEMPERZONE,Ducted,Single Split System,,1.97,0
CISD0109/OSA114RKSH,TEMPERZONE,Ducted,Single Split System,,3.6,0
CISD0109/OSA114RKTH,TEMPERZONE,Ducted,Single Split System,,3.33,0
CISD0132/OSA139RKS,TEMPERZONE,Ducted,Single Split System,,4.2,0
CISD0132/OSA139RKT,TEMPERZONE,Ducted,Single Split System,,4.2,0
CISD110KOSA110,TEMPERZONE,Ducted,Single Split System,,3.912,0
CISD116/OSA114S,TEMPERZONE,Ducted,Single Split System,,3.6,0
CISD116/OSA114T,TEMPERZONE,Ducted,Single Split System,,3.6,0
CISD135K OSA140RK,TEMPERZONE,Ducted,Single Split System,,4.464,0
CISD155K OSA156RKTV,TEMPERZONE,Ducted,Single Split System,,5.176,0
CISD178/OSA184R,TEMPERZONE,Ducted,Single Split System,,5.36,0
CISD200K OSA200RKT,TEMPERZONE,Ducted,Single Split System,,6.271,0
CISD230K OSA230RKT,TEMPERZONE,Ducted,Single Split System,,7,0
CISD270K/OSA270RKT,TEMPERZONE,Ducted,Single Split System,,8.4,0
CISD385/OSA380,TEMPERZONE,Ducted,Single Split System,,11.25,0
CISD65/OSA65,TEMPERZONE,Ducted,Single Split System,,1.97,0
CISD83K OSA83,TEMPERZONE,Ducted,Single Split System,,2.694,0
CISD96/OSA86,TEMPERZONE,Ducted,Single Split System,,2.6,0
CWP0063,TEMPERZONE,Ducted,Packaged,,1.74,0
CWP0083,TEMPERZONE,Ducted,Packaged,,2.22,0
CWP0096,TEMPERZONE,Ducted,Packaged,,2.63,0
CWP0109S,TEMPERZONE,Ducted,Packaged,,3,0
CWP0109T,TEMPERZONE,Ducted,Packaged,,3,0
CWP0132,TEMPERZONE,Ducted,Packaged,,3.625,0
CWP0132RKS,TEMPERZONE,Ducted,Packaged,,3.62,0
CWP0139,TEMPERZONE,Ducted,Packaged,,3.625,0
CWP0139,TEMPERZONE,Ducted,Packaged,,3.41,0
CWP0178,TEMPERZONE,Ducted,Packaged,,4.81,0
CWP0217,TEMPERZONE,Ducted,Packaged,,6.23,0
CWP0225,TEMPERZONE,Ducted,Packaged,,5.8,0
CWP0266,TEMPERZONE,Ducted,Packaged,,7.36,0
CWP0374,TEMPERZONE,Ducted,Packaged,,9.9,0
CWP0447,TEMPERZONE,Ducted,Packaged,,12.76,0
CWP0568,TEMPERZONE,Ducted,Packaged,,15,0
CWP077R,TEMPERZONE,Ducted,Packaged,,2.14,0
CWP077R,TEMPERZONE,Ducted,Packaged,,2.12,0
CWP096R,TEMPERZONE,Ducted,Packaged,,2.83,0
CWP117RKS,TEMPERZONE,Ducted,Packaged,,3.2,0
CWP117RKT,TEMPERZONE,Ducted,Packaged,,3.2,0
CWP139RKT,TEMPERZONE,Ducted,Packaged,,3.7,0
CWP139RS,TEMPERZONE,Ducted,Packaged,,3.7,0
CWP139RS,TEMPERZONE,Ducted,Packaged,,3.7,0
CWP170R,TEMPERZONE,Ducted,Packaged,,4.53,0
CWP225R,TEMPERZONE,Ducted,Packaged,,6.23,0
CWP290R,TEMPERZONE,Ducted,Packaged,,7.4,0
CWP380R,TEMPERZONE,Ducted,Packaged,,10.36,0
CWP515R,TEMPERZONE,Ducted,Packaged,,15.05,0
CWP580R,TEMPERZONE,Ducted,Packaged,,16.25,0
HWP117,TEMPERZONE,Ducted,Packaged,,3.08,0
HWP139,TEMPERZONE,Ducted,Packaged,,3.6,0
HWP141,TEMPERZONE,Ducted,Packaged,,3.6,0
HWP141CEKTY,TEMPERZONE,Ducted,Packaged,,3.52,0
HWP170,TEMPERZONE,Ducted,Packaged,,4.5,0
HWP171,TEMPERZONE,Ducted,Packaged,,4.28,0
HWP190,TEMPERZONE,Ducted,Packaged,,4.95,0
HWP191,TEMPERZONE,Ducted,Packaged,,5.09,0
HWP225,TEMPERZONE,Ducted,Packaged,,5.87,0
HWP225RKT,TEMPERZONE,Ducted,Packaged,,6.31,0
HWP290,TEMPERZONE,Ducted,Packaged,,7.6,0
HWP291RKTF,TEMPERZONE,Ducted,Packaged,,6.88,0
HWP35,TEMPERZONE,Ducted,Packaged,,0.941,0
HWP35CEKSY,TEMPERZONE,Ducted,Packaged,,0.94,0
HWP370,TEMPERZONE,Ducted,Packaged,,9.35,0
HWP445,TEMPERZONE,Ducted,Packaged,,12.4,0
HWP47,TEMPERZONE,Ducted,Packaged,,1.22,0
HWP47,TEMPERZONE,Ducted,Packaged,,1.22,0
HWP47CEKSY,TEMPERZONE,Ducted,Packaged,,1.22,0
HWP58,TEMPERZONE,Ducted,Packaged,,1.57,0
HWP58CEKSY,TEMPERZONE,Ducted,Packaged,,1.57,0
HWP77,TEMPERZONE,Ducted,Packaged,,2.12,0
HWP77,TEMPERZONE,Ducted,Packaged,,2.14,0
HWP77CEKSY,TEMPERZONE,Ducted,Packaged,,2.2,0
HWP78,TEMPERZONE,Ducted,Packaged,,2.3,0
HWP96,TEMPERZONE,Ducted,Packaged,,2.75,0
HWP96CEKSY,TEMPERZONE,Ducted,Packaged,,2.68,0
ISD-OSA220,TEMPERZONE,Ducted,Single Split System,,7.4,0
