Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 RAV-SM1104BT-E + RAV-SP1104AT-A,Toshiba,Ducted,Single Split System,,2.94,0
 RAV-SM1104UT-E + RAV-SM1103AT-A,Toshiba,Non Ducted,Single Split System,Cassette,3.11,0
 RAV-SM1104UT-E + RAV-SP1104AT-A,Toshiba,Non Ducted,Single Split System,Cassette,2.21,0
 RAV-SM1104UTP-E + RAV-SM1103AT-A,Toshiba,Non Ducted,Single Split System,Cassette,3.11,0
 RAV-SM1106BT-E + RAV-SP1104AT-A,Toshiba,Ducted,Single Split System,,2.64,0
 RAV-SM1403DT-A + RAV-SP1404AT-A,Toshiba,Ducted,Single Split System,,3.66,0
 RAV-SM1404BT-E + RAV-SP1404AT-A,Toshiba,Ducted,Single Split System,,3.83,0
 RAV-SM1404CT-E + RAV-SP1404AT-A,Toshiba,Non Ducted,Single Split System,Under ceiling,3.73,0
 RAV-SM1404UT-E + RAV-SM1403AT-A,Toshiba,Non Ducted,Single Split System,Cassette,3.35,0
 RAV-SM1404UT-E + RAV-SP1404AT-A,Toshiba,Non Ducted,Single Split System,Cassette,3.16,0
 RAV-SM1404UT-E + RAV-SP1404AT8-A,Toshiba,Non Ducted,Single Split System,Cassette,3.46,0
 RAV-SM1406BT-E + RAV-SP1404AT-A,Toshiba,Ducted,Single Split System,,3.83,0
 RAV-SM1406BT-E +RAV-SP1404AT8-A,Toshiba,Ducted,Single Split System,,3.86,0
 RAV-SM1603DT-A + RAV-SP1604AT8-A,Toshiba,Ducted,Single Split System,,4.12,0
 RAV-SM1604UT-E + RAV-SM1603AT-A,Toshiba,Non Ducted,Single Split System,Cassette,4.49,0
 RAV-SM2242DT-E  +  RAV-SM2244AT8-A,Toshiba,Ducted,Single Split System,,5.1,0
 RAV-SM2802DT-E  + RAV-SM2804AT8-A,Toshiba,Ducted,Single Split System,,6.2,0
 RAV-SM564BT-E + RAV-SP564AT-A,Toshiba,Ducted,Single Split System,,1.39,0
 RAV-SM564CT-E + RAV-SP564AT-A,Toshiba,Non Ducted,Single Split System,Under ceiling,1.39,0
 RAV-SM564MUT-E + RAV-SP564AT-A,Toshiba,Non Ducted,Single Split System,Cassette,1.39,0
 RAV-SM564UT-E + RAV-SM563AT-A,Toshiba,Non Ducted,Single Split System,Cassette,1.65,0
 RAV-SM564UT-E + RAV-SP564AT-A,Toshiba,Non Ducted,Single Split System,Cassette,1.47,0
 RAV-SM566KRT-A + RAV-SP564AT-A,Toshiba,Non Ducted,Single Split System,Wall Hung,1.44,2.25
 RAV-SM804BT-E + RAV-SP804AT-A,Toshiba,Ducted,Single Split System,,1.91,0
 RAV-SM804BT-E x2 + RAV-SP1404AT-A,Toshiba,Ducted,Double/Triple Split,,3.83,0
 RAV-SM804CT-E + RAV-SP804AT-A,Toshiba,Non Ducted,Single Split System,Under ceiling,1.91,0
 RAV-SM804UT-E + RAV-SM803AT-A,Toshiba,Non Ducted,Single Split System,Cassette,1.84,0
 RAV-SM804UT-E + RAV-SP804AT-A,Toshiba,Non Ducted,Single Split System,Cassette,1.86,0
 RAV-SM806KRT-A + RAV-SP804AT-A,Toshiba,Non Ducted,Single Split System,Wall Hung,1.91,1.5
MCY-MAP0401HT + MMU-AP0184HP-E x 2,Toshiba,Non Ducted,Multiple split - VRF,,2.88,0
MCY-MAP0501HT + MMU-AP0244HP-E x 2,Toshiba,Non Ducted,Multiple split - VRF,,3.542,0
MCY-MHP0404HT-A + (MMU-AP0092H x 2 / MMU-AP0182H),Toshiba,Non Ducted,Multiple split - VRF,,2.948,0
MCY-MHP0504HT-A (MMU-AP0092H x 2 /  MMU-AP0122H / MMU-AP0152H),Toshiba,Non Ducted,Multiple split - VRF,,3.586,0
MCY-MHP0604HT-A (MMU-AP0092H x 2 / MMU-AP0152H / MMU-AP0182H),Toshiba,Non Ducted,Multiple split - VRF,,4.441,0
MMY-MAP0804FT8-A + (MMU-AP0184HP-E x 4),Toshiba,Non Ducted,Multiple split - VRF,,5.44,0
MMY-MAP0804HT8P + MMU-AP0184HP-E x 4,Toshiba,Non Ducted,Multiple split - VRF,,5.51,0
