Model No,Brand,Control,Prog Name,Type,New CEC,New Star
MWW509IBORAB/TWK509JBOEAA,TRANE,Non Ducted,Single Split System,,0.94,0
MWW512IBORAB/TWK512JBOEAA,TRANE,Non Ducted,Single Split System,,1.29,0
MWW518IBORAB/TWK518JBOEAA,TRANE,Non Ducted,Single Split System,,1.73,0
MWW524IB0RAB/TWK524JB0EAA,TRANE,Non Ducted,Single Split System,,2.48,0
MWW526IB0RAC/TWK526JB0EAB,TRANE,Non Ducted,Single Split System,,2.78,0
TWA075/TWE075,TRANE,Ducted,Single Split System,,7,0
TWA100/TWE120,TRANE,Ducted,Single Split System,,9.9,0
TWA150/TWE150,TRANE,Ducted,Single Split System,,14.92,0
TWA200/TWE240,TRANE,Ducted,Single Split System,,20.8,0
TWE/A075,TRANE,Non Ducted,Single Split System,,7.89,0
TWE/A100,TRANE,Non Ducted,Single Split System,,10.25,0
TWE/A155,TRANE,Non Ducted,Single Split System,,15.63,0
TWE/A200,TRANE,Non Ducted,Single Split System,,21.63,0
TWE030/TWA030,TRANE,Non Ducted,Single Split System,,3.159,0
TWE040/TWA040,TRANE,Non Ducted,Single Split System,,3.973,0
TWE050/TWA050,TRANE,Non Ducted,Single Split System,,5.176,0
TWE050/TWA060,TRANE,Non Ducted,Single Split System,,6.471,0
WCD/H063,TRANE,Ducted,Single Split System,,6.5,0
WCD/H073,TRANE,Ducted,Single Split System,,8.4,0
WCD/H100,TRANE,Ducted,Single Split System,,10.5,0
WCD/H125,TRANE,Ducted,Single Split System,,12.8,0
WCD/H155,TRANE,Ducted,Single Split System,,15.6,0
WCD/H200,TRANE,Ducted,Single Split System,,22.3,0
WSC060AD*,TRANE,Ducted,Packaged,,6.11,0
WSC120AD*,TRANE,Ducted,Packaged,,11.5,0
