Model No,Brand,Control,Prog Name,Type,New CEC,New Star
FR125,TRANSCO,Ducted,Single Split System,,4.9,0
FR180,TRANSCO,Ducted,Single Split System,,6.5,0
FR95-C,TRANSCO,Non Ducted,Single Split System,Wall Hung,3.4,0
KFR-120Fhw/Sc,TRANSCO,Ducted,Single Split System,,5.1,0
KFR-25,TRANSCO,Non Ducted,Single Split System,Wall Hung,0.81,0
KFR-25GW/BPc,TRANSCO,Non Ducted,Single Split System,,0.95,0
KFR-25GW/Cc,TRANSCO,Non Ducted,Single Split System,,0.95,0
KFR-30GW/BPc,TRANSCO,Non Ducted,Single Split System,,1.15,0
KFR-32,TRANSCO,Non Ducted,Single Split System,Wall Hung,1.03,0
KFR-35GW/Ac,TRANSCO,Non Ducted,Single Split System,,1.32,0
KFR-50,TRANSCO,Non Ducted,Single Split System,Wall Hung,1.8,0
KFR-51GW/BPc,TRANSCO,Non Ducted,Single Split System,,2.09,0
KFR-51GW/c,TRANSCO,Non Ducted,Single Split System,,2.05,0
KFR-60,TRANSCO,Non Ducted,Single Split System,Wall Hung,2.14,0
KFR-61GW/c,TRANSCO,Non Ducted,Single Split System,,2.32,0
KFR-66GW/c,TRANSCO,Non Ducted,Single Split System,,2.65,0
KFR-70,TRANSCO,Non Ducted,Single Split System,Wall Hung,2.5,0
