Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CDU-109-C240,WEATHERMAKER,Non Ducted,Single Split System,,3.283,0
CDU-114-C240,WEATHERMAKER,Non Ducted,Single Split System,,4.997,0
CDU-117-C415,WEATHERMAKER,Non Ducted,Single Split System,,6.391,0
S12HS-1,WEATHERMAKER,Non Ducted,Single Split System,,1.21,0
S18HS-1,WEATHERMAKER,Non Ducted,Single Split System,,1.85,0
S24HS-1,WEATHERMAKER,Non Ducted,Single Split System,,2.5,0
SO9HS-1,WEATHERMAKER,Non Ducted,Single Split System,,0.84,0
WMHI0307 + WMHO0307,WEATHERMAKER,Non Ducted,Single Split System,,3.283,0
WMHI0367 + WMHO0369,WEATHERMAKER,Non Ducted,Single Split System,,3.566,0
WMHI0487 + WMHO0489,WEATHERMAKER,Non Ducted,Single Split System,,4.997,0
WMHI0607 + WMHO0609,WEATHERMAKER,Non Ducted,Single Split System,,6.391,0
WMS009H,WEATHERMAKER,Non Ducted,Single Split System,,0.96,0
WMS012H,WEATHERMAKER,Non Ducted,Single Split System,,1.32,0
WMS018H,WEATHERMAKER,Non Ducted,Single Split System,,1.88,0
WMS024H,WEATHERMAKER,Non Ducted,Single Split System,,2.23,0
WMS030H,WEATHERMAKER,Non Ducted,Single Split System,,3.25,0
