Model No,Brand,Control,Prog Name,Type,New CEC,New Star
WIHPD1-09EW4A2/WCHPD1-09EW4A2,Westinghouse,Non Ducted,Single Split System,Wall Hung,0.66,3
WIHPD1-12EW4A2/WCHPD1-12EW4A2,Westinghouse,Non Ducted,Single Split System,Wall Hung,0.91,3
WIHPD1-18EW4A2/WCHPD1-18EW4A2,Westinghouse,Non Ducted,Single Split System,Wall Hung,1.47,2.75
WIHPD1-24EW4A2/WCHPD1-24EW4A2,Westinghouse,Non Ducted,Single Split System,Wall Hung,1.94,2.25
WIHPD1-28EW4A2/WCHPD1-28EW4A2,Westinghouse,Non Ducted,Single Split System,Wall Hung,2.35,1.5
WIHPD7-28EW4A2/WCHPD7-28EW4A2,Westinghouse,Non Ducted,Single Split System,Wall Hung,2.37,2.25
WIWPK-09ENW1/WCHPK-09ECR1,Westinghouse,Non Ducted,Single Split System,Wall Hung,0.67,3
WIWPK-12ENW1/ WCHPK-12ECR1,Westinghouse,Non Ducted,Single Split System,Wall Hung,0.93,3
WIWPK-18ENW1/ WCHPK-18ECR1,Westinghouse,Non Ducted,Single Split System,Wall Hung,1.51,2.25
WIWPK-24ENW1/WCHPK-24ECR1,Westinghouse,Non Ducted,Single Split System,Wall Hung,1.92,2
WIWPK-28ENW1/WCHPK-28ECR1,Westinghouse,Non Ducted,Single Split System,Wall Hung,2.23,2
