Model No,Brand,Control,Prog Name,Type,New CEC,New Star
HSH-1802BA,WINIA,Non Ducted,Single Split System,,1.9,0
HSH-2402BA,WINIA,Non Ducted,Single Split System,,2.25,0
WC 052HA3,WINIA,Non Ducted,Single Split System,,1.85,0
WC 070HA3,WINIA,Non Ducted,Packaged,,2.4,0
WD 105HA3,WINIA,Ducted,Single Split System,,3.9,0
WF 129HA1,WINIA,Non Ducted,Portable cooler,,5.2,0
WS 026HA1,WINIA,Non Ducted,Single Split System,,0.89,0
WS 034HA1,WINIA,Non Ducted,Single Split System,,1.24,0
WS 050HA2,WINIA,Non Ducted,Single Split System,,1.93,0
WS 067HA2,WINIA,Non Ducted,Single Split System,,2.39,0
WS 085HA1,WINIA,Non Ducted,Single Split System,,2.76,0
WSH-073BE,WINIA,Non Ducted,Single Split System,,0.65,0
WSH-073BE,WINIA,Non Ducted,Single Split System,,0.71,0
WSH-120BA,WINIA,Non Ducted,Single Split System,,1.23,0
WSH-302BA,WINIA,Non Ducted,Single Split System,,2.95,0
WVH-143BE,WINIA,Non Ducted,Single Split System,,1.5,0
WVH-143BE,WINIA,Non Ducted,Single Split System,,1.6,0
