Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ASW-H09B6A4/R1-C7,Yamatsu,Non Ducted,Single Split System,Wall Hung,0.68,2.75
ASW-H12C4A4/SDR1-C7,Yamatsu,Non Ducted,Single Split System,Wall Hung,0.9,2.75
ASW-H18B4/SDR1-AUA,Yamatsu,Non Ducted,Single Split System,Wall Hung,1.45,2.75
ASW-H24A4/SDR1-AUA,Yamatsu,Non Ducted,Single Split System,Wall Hung,2.1,2
AUS-07HR53FA2,YAMATSU,Non Ducted,Single Split System,,0.79,0
AUS-09HR53FA2,YAMATSU,Non Ducted,Single Split System,,0.92,0
AUS-12HR53FA2,YAMATSU,Non Ducted,Single Split System,,1.3,0
AUS-18HR53FA2,YAMATSU,Non Ducted,Single Split System,,1.96,0
AUS-24HR53FA2,YAMATSU,Non Ducted,Single Split System,,2.5,0
KFR-26GW,YAMATSU,Non Ducted,Single Split System,,0.98,0
KFR-34GW,YAMATSU,Non Ducted,Single Split System,,1.32,0
KFR-34GW/BP,YAMATSU,Non Ducted,Single Split System,,1.28,0
KFR-50GW,YAMATSU,Non Ducted,Single Split System,,2.31,0
KFR-70GW,YAMATSU,Non Ducted,Single Split System,,2.5,0
KFR-70QW,YAMATSU,Non Ducted,Single Split System,,2.6,0
LD-09CHS KFR-25GW S-09H,YAMATSU,Non Ducted,Single Split System,Wall Hung,0.83,0
LD-12CHS KFR-36GW S-12H,YAMATSU,Non Ducted,Single Split System,Wall Hung,1.1,0
LD-18CHS KFR-51GW S-18H,YAMATSU,Non Ducted,Single Split System,Wall Hung,1.69,0
LD-24CHS KFR-66GW S-24H,YAMATSU,Non Ducted,Single Split System,Wall Hung,2.05,0
LD-30CHS KFR-85GW S-30H,YAMATSU,Non Ducted,Single Split System,Wall Hung,2.61,0
