Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KFR-25GW/Ac(A++B),YONAN,Non Ducted,Single Split System,Wall Hung,0.79,0
KFR-35GW/Ac(A++B),YONAN,Non Ducted,Single Split System,Wall Hung,1.06,0
KFR-51GW/c(N++B),YONAN,Non Ducted,Single Split System,Wall Hung,1.7,0
KFR-61GW/c(N++B),YONAN,Non Ducted,Single Split System,Wall Hung,2.1,0
KFR-70GW/c(S++B),YONAN,Non Ducted,Single Split System,Wall Hung,2.4,0
KFR-82GW/c(S++B),YONAN,Non Ducted,Single Split System,Wall Hung,2.83,0
YC-09HRDN1,YONAN,Non Ducted,Single Split System,Wall Hung,0.67,3
YC-12HRDN1,YONAN,Non Ducted,Single Split System,Wall Hung,0.93,3
YC-18HRDN1,YONAN,Non Ducted,Single Split System,Wall Hung,1.51,2.25
YC-24HRDN1,YONAN,Non Ducted,Single Split System,Wall Hung,1.92,2
YC-28HRDN1,YONAN,Non Ducted,Single Split System,Wall Hung,2.23,2
YKC-09/CM,YONAN,Non Ducted,Window Wall,,0.87,0
YKC-12/CM,YONAN,Non Ducted,Window Wall,,1.15,0
YKC-18/CR,YONAN,Non Ducted,Window Wall,,1.8,0
