Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ARH060,YORK,Ducted,Packaged,,21.4,0
HLHA09FSAAAA,YORK,Non Ducted,Single Split System,,0.97,0
HLHA09FSAAAR,YORK,Non Ducted,Single Split System,,0.97,0
HLHA12FSAAAA,YORK,Non Ducted,Single Split System,,1.32,0
HLHA12FSAAAR,YORK,Non Ducted,Single Split System,,1.32,0
HLHA18FSAAAR,YORK,Non Ducted,Single Split System,,1.9,0
HLHA31FSAAAR,YORK,Non Ducted,Single Split System,,3.43,0
HVHA09ASAAAR,YORK,Non Ducted,Single Split System,,1.1,0
HVHA09FSAAAA,YORK,Non Ducted,Single Split System,,1.1,0
HVHA12ASAAAR,YORK,Non Ducted,Single Split System,,1.3,0
HVHA12FSAAAA,YORK,Non Ducted,Single Split System,,1.3,0
HVHA21ASAAAR,YORK,Non Ducted,Single Split System,,2.45,0
HVHA21FSAAAA,YORK,Non Ducted,Single Split System,,2.45,0
HVHA24ASAAAR,YORK,Non Ducted,Single Split System,,2.45,0
MAHC09FSGJAA,YORK,Non Ducted,Single Split System,,0.82,0
MAHC12FSGJAA,YORK,Non Ducted,Single Split System,,1.05,0
MAHC18FSGJAA,YORK,Non Ducted,Single Split System,,1.7,0
MAHC24FSGJAA,YORK,Non Ducted,Single Split System,,2.5,0
MHC12P15/MOC12P15A,YORK,Non Ducted,Single Split System,,1.14,0
MHC18P15/MOC18R15A,YORK,Non Ducted,Single Split System,,1.88,0
MHH09P17/MOH09P15A,YORK,Non Ducted,Single Split System,,0.91,0
MHH12P15/MOH12P15A,YORK,Non Ducted,Single Split System,,1.14,0
MHH18P15/MOH18R15A,YORK,Non Ducted,Single Split System,,1.88,0
MVHC09DSGJAA,YORK,Non Ducted,Single Split System,,0.8,0
MVHC12DSGJAA,YORK,Non Ducted,Single Split System,,1,0
MVHC18ASGJAA,YORK,Non Ducted,Single Split System,,1.7,0
RAHC21FSAAAA-II,YORK,Non Ducted,Single Split System,Wall Hung,2.05,0
RAHC24FSAAAA-II,YORK,Non Ducted,Single Split System,Wall Hung,2.2,0
RVHC09DSAAAA,YORK,Non Ducted,Single Split System,Wall Hung,0.8,0
RVHC12DSAAAA,YORK,Non Ducted,Single Split System,Wall Hung,1,0
RVHC18ASAAAA,YORK,Non Ducted,Single Split System,Wall Hung,1.6,0
Y9USE09-5A,YORK,Non Ducted,Window Wall,,0.96,0
Y9USE09-5R,YORK,Non Ducted,Window Wall,,0.96,0
Y9USE09-5R-II,YORK,Non Ducted,Window Wall,,0.9,0
Y9USE12-5R,YORK,Non Ducted,Window Wall,,1.31,0
Y9USE12-5R-II,YORK,Non Ducted,Window Wall,,1.15,0
Y9USE18-5R,YORK,Non Ducted,Window Wall,,1.84,0
YAH/YCS22,YORK,Non Ducted,Single Split System,,7.5,0
YAH/YCS27,YORK,Non Ducted,Single Split System,,8.85,0
YAH/YCS30S,YORK,Non Ducted,Single Split System,,10.99,0
YAH/YCS36S,YORK,Non Ducted,Single Split System,,13.13,0
YAH14/MOH45,YORK,Non Ducted,Single Split System,,5.55,0
YAH16/MOH55,YORK,Non Ducted,Single Split System,,6.28,0
YAH18/MOH,YORK,Non Ducted,Single Split System,,7.34,0
YCAFZH007BAMAAFX,YORK,Non Ducted,Window Wall,,0.65,2
YCAFZH009BAMAAFX,YORK,Non Ducted,Window Wall,,0.78,2
YCAFZH012BAMAAFX,YORK,Non Ducted,Window Wall,,1.04,2
YJHC07FSAAAA-III,YORK,Non Ducted,Single Split System,Wall Hung,0.62,2
YJHC09FSAAAA-III,YORK,Non Ducted,Single Split System,Wall Hung,0.745,2
YJHC12FSAAAA-III,YORK,Non Ducted,Single Split System,Wall Hung,0.99,2.25
YJHC18FSAAAA-III,YORK,Non Ducted,Single Split System,Wall Hung,1.6,1.5
YJHC24FSAAAA-IIIS,YORK,Non Ducted,Single Split System,Wall Hung,2.2,1.25
YKHC24DSBAAF-III,YORK,Non Ducted,Single Split System,Cassette,2.35,1.25
YKHC36DSBAAF-III,YORK,Non Ducted,Single Split System,Cassette,3.27,1
