Model No,Brand,Control,Prog Name,Type,New CEC,New Star
T754C,ASKO,Autosensing,AUTO NORMAL DRY,Condenser,292,2
T754C,ASKO,Autosensing,Auto Normal Dry  ,Condenser,292,2
T754HP,ASKO,Autosensing,AUTO NORMAL DRY,Condenser,164,6
T754HP,ASKO,Autosensing,Auto Normal Dry,Condenser,164,6
T784C,ASKO,Autosensing,AUTO NORMAL DRY,Condenser,292,2
T784C,ASKO,Autosensing,Auto Normal Dry  ,Condenser,292,2
T784HP,ASKO,Autosensing,AUTO NORMAL DRY,Condenser,164,6
T784HP,ASKO,Autosensing,Auto Normal Dry,Condenser,164,6
T784HP,ASKO,Autosensing,Auto Normal Dry,Condenser,164,6
T794C,ASKO,Autosensing,AUTO NORMAL DRY,Condenser,292,2
T794C,ASKO,Autosensing,Auto Normal Dry  ,Condenser,292,2
T884 XL HP W,ASKO,Autosensing,Auto normal dry,Condenser,154,6
T884XLHP,ASKO,Autosensing,Auto Normal Dry,Condenser,154,6
TDC111V,ASKO,Autosensing,AUTO NORMAL DRY,Vented,270,2
TDC111V,ASKO,Autosensing,P3 Auto Normal Dry,Vented,270,2
TDC112V,ASKO,Autosensing,Auto Normal Dry,Vented,292,2
