Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DCU 7330 X,BEKO,Autosensing,Cottons-Extra Dry,Condenser,313,2
DCU 8330 GX,BEKO,Autosensing,Cottons-Extra Dry,Condenser,350,2
DCY 7402 GXB2,BEKO,Autosensing,Cottons Cupboard Dry Plus,Condenser,308,2
DCY 8502 XB1,BEKO,Autosensing,"Cottons-Extra Dry, Dry۱ng Level Normal",Condenser,349,2
DPU 7360 GX,BEKO,Autosensing,Cottons-Extra Dry,Condenser,163,6
DPU 7390 GX,BEKO,Autosensing,Cottons-Extra Dry,Condenser,103,6
DPY 7504 XB1,BEKO,Autosensing,"Cottons Extra Dry, Dry۱ng Level Extra",Condenser,155,6
DV 6120 X,BEKO,Autosensing,Cottons-Ready to Wear,Vented,266,2
DV 7220 X,BEKO,Autosensing,Cottons-Ready to Wear Plus,Vented,305,2
WDA 8514 H,BEKO,Autosensing,"Cotton Dry, Extra, 1400rpm",Condenser,175,3.5
