Model No,Brand,Control,Prog Name,Type,New CEC,New Star
WTA74200AU,BOSCH,Autosensing,Cottons Extra Dry,Vented,315,2
WTB76550EU,BOSCH,Autosensing,Cupboar Dry,Vented,447,2
WTB86200AU,BOSCH,Autosensing,Cottons Cupboard Dry Extra,Condenser,360,2
WTC84100AU,BOSCH,Autosensing,Regular / Cotton Very Dry,Condenser,270,2
WTC84101AU,BOSCH,Autosensing,Regular / Cotton Very Dry,Condenser,270,2
WTE86303AU,BOSCH,Autosensing,Cottons Very Dry,Condenser,355,2
WTV74100AU,BOSCH,Autosensing,Very Dry,Vented,290,2.5
WTW84360AU,BOSCH,Autosensing,Cottons Cupboard Dry Extra,Condenser,117,6
WTW84360AU,BOSCH,Autosensing,Cottons Cupboard Dry Extra,Condenser,117,6
WTW86200AU,BOSCH,Autosensing,Cottons Cupboard Dry Plus,Condenser,120,6
WTW86561AU,BOSCH,Autosensing,Cottons Cupboard Dry,Condenser,128,6
WTW87565AU,BOSCH,Autosensing,"Cottons, Cupboard Dry Plus",Condenser,160,6
WTY88700AU,BOSCH,Autosensing,"Cottons, EcoPerfect, Cupboard dry extra, 1000rpm",Condenser,109,6
WTY88701AU,BOSCH,Autosensing,Cottons Cupboard Dry Extra,Condenser,165,6
WVH28441AU,BOSCH,Autosensing,"Intensive Dry, Auto2",Condenser,153,3
