Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AD39,FISHER & PAYKEL,Timer,Regular,Vented,207,1
AD55,FISHER & PAYKEL,Timer,Regular,Vented,241,1
DE35F56AW1,FISHER & PAYKEL,Manual,Regular,Vented,190,1
DE40F56A*,FISHER & PAYKEL,Timer,Regular,Vented,212,1
DE45F56AW1,FISHER & PAYKEL,Timer,Regular,Vented,234,1
DE45F56EW1,FISHER & PAYKEL,Autosensing,Regular,Vented,202,2
DE50F56A*,FISHER & PAYKEL,Timer,Regular,Vented,244,1.5
DE50F56E*,FISHER & PAYKEL,Autosensing,Regular,Vented,217,2
DE8060P*,FISHER & PAYKEL,Autosensing,Everyday,Condenser,355,2
DE8060P1,FISHER & PAYKEL,Autosensing,Everyday,Condenser,355,2
DEIX1,FISHER & PAYKEL,Autosensing,"Autosensing, damp",Vented,339,2
ED56,FISHER & PAYKEL,Autosensing,Regular,Vented,227,1
ED56,FISHER & PAYKEL,Autosensing,Regular,Vented,202,2
ED56,FISHER & PAYKEL,Autosensing,Regular,Vented,202,2
ED57,FISHER & PAYKEL,Autosensing,Regular,Vented,202,2
