Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DC-80S1U,Galanz,Autosensing,strong,Condenser,326,2.5
DC-80S3U,Galanz,Autosensing,strong,Condenser,326,2.5
DV-60Q5E,Galanz,Autosensing,strong,Vented,260,2
DV-60Q5EU,Galanz,Autosensing,strong,Vented,260,2
DV-60Q5EU,Galanz,Autosensing,strong,Vented,260,2
DV-60Q8EU,Galanz,Autosensing,strong,Vented,260,2
DV-60Q8EU,Galanz,Autosensing,strong,Vented,260,2
DV-60Q9EU,Galanz,Autosensing,strong,Vented,260,2
DV-60Q9EU,Galanz,Autosensing,strong,Vented,260,2
XQG70-DA112PE,GALANZ,Timer,Cottons Drying 198 min,Vented,148,2
