Model No,Brand,Control,Prog Name,Type,New CEC,New Star
TD-C800E,LG,Autosensing,Cotton Extra Dry,Condenser,356,2
TD-C801H,LG,Autosensing,"Cotton, Cupboard",Condenser,148,6
TD-C8031E,LG,Autosensing,Cotton Extra,Condenser,356,2
TD-C8035E,LG,Autosensing,Cotton Extra,Condenser,356,2
TD-C803E,LG,Autosensing,Cotton Extra Dry,Condenser,356,2
TD-C809E,LG,Autosensing,Cotton Extra Dry,Condenser,356,2
TD-C901H,LG,Autosensing,"Cotton, Cupboard",Condenser,170,6
TD-C902H,LG,Autosensing,"Cotton, Cupboard",Condenser,170,6
WD12585FD6,LG,Autosensing,Eco,Condenser,311,2.5
WD12595FD6,LG,Autosensing,Cotton ECo Extra High Spin,Condenser,311,2.5
WD14022RD6,LG,Autosensing,"Cupboard Dry, 1400rpm",Condenser,190,1.5
WD1402CRD6,LG,Autosensing,"Cupboard Dry, 1400rpm",Condenser,190,1.5
WD14030FD6,LG,Autosensing,Dry Only; 1400 rpm; Eco dry,Condenser,220,1
WD14030RD6,LG,Autosensing,Dry Only; 1400 rpm; Eco dry,Condenser,220,1
WD14130FD6,LG,Autosensing,"Dry Only, 1400 rpm, Eco dry",Condenser,215,1.5
WD14130RD6,LG,Autosensing,"Dry Only, 1400 rpm, Eco dry",Condenser,215,1.5
