Model No,Brand,Control,Prog Name,Type,New CEC,New Star
PT 7135 C,MIELE,Autosensing,Cottons Normal +,Condenser,316,1.5
PT 7188,MIELE,Autosensing,Cottons Extra dry,Vented,485,1.5
T 7944 C,MIELE,Autosensing,Cottons Normal Plus,Condenser,292,2
T 7950 WP,MIELE,Autosensing,Cottons Normal Plus,Condenser,127,6
T 8000 WP,MIELE,Autosensing,Cottons Normal Plus,Condenser,156,6
T 8001 WP,MIELE,Autosensing,Cottons Normal Plus,Condenser,127,6
T 8822 C,MIELE,Autosensing,Cottons Normal Plus,Condenser,292,2
T 8823 C,MIELE,Autosensing,Cottons Normal Plus,Condenser,292,2
T 8827 WP,MIELE,Autosensing,Cottons Normal Plus,Condenser,156,6
T 8843 C,MIELE,Autosensing,Cottons Normal Plus,Condenser,292,2
T 8861 WP,MIELE,Autosensing,Cotton Extra dry,Condenser,149,6
T 8903 C,MIELE,Autosensing,Cottons Normal Plus,Condenser,292,2
T 8927 WP,MIELE,Autosensing,Cottons Normal Plus,Condenser,156,6
T 8929 WP,MIELE,Autosensing,Cottons Normal Plus,Condenser,127,6
TDA 150 C,MIELE,Autosensing,Cottons Normal +,Condenser,292,2
TKB 450 WP,MIELE,Autosensing,Cottons / Extra dry,Condenser,158,6
TKB350WP,MIELE,Autosensing,Cottons / Extra dry,Condenser,158,6
TKG 450 WP,MIELE,Autosensing,Cottons / Extra dry,Condenser,158,6
TKR 450 WP,MIELE,Autosensing,Cottons / Extra dry,Condenser,143,6
WT 2780,MIELE,Autosensing,Cottons Normal,Condenser,77,4
WT2670,MIELE,Autosensing,Cottons Normal Plus,Condenser,84,3.5
