Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DV70H4400CW,SAMSUNG ELECTRONICS,Autosensing,"Drying Cotton Extra Dry, Drying Level High",Condenser,309,2
DV70H4400CW,SAMSUNG ELECTRONICS,Autosensing,"Cotton Extra Dry, Drying Level High",Condenser,339,1.5
DV80F5E5HGW,SAMSUNG ELECTRONICS,Autosensing,"Cotton Extra Dry, Drying Level 3",Condenser,153,6
DV80H4100CW,SAMSUNG ELECTRONICS,Autosensing,"Cotton Extra Dry, Drying Level High",Condenser,379,1.5
DV80H4100CW,SAMSUNG ELECTRONICS,Autosensing,"Drying Cotton Extra Dry, Drying Level High",Condenser,353,2
DV90H8000HW,SAMSUNG ELECTRONICS,Autosensing,"Cotton Extra Dry, Dry Level 3",Condenser,192,6
WD0754W8E,SAMSUNG ELECTRONICS,Autosensing,Drying course + Intensive,Condenser,165,2.5
WD10F7S7SRP,SAMSUNG ELECTRONICS,Autosensing,"Drying, 1000rpm, Cupboard",Condenser,305,2
WD10F8K9ABG,SAMSUNG ELECTRONICS,Autosensing,"Drying, Cupboard Dry, Extra High Spin",Condenser,332,2.5
WD10J8420GW,SAMSUNG ELECTRONICS,Autosensing,"Drying Cotton Dry, Cupboard, Spin 1400rpm",Condenser,182,3
WD1102XVM,SAMSUNG ELECTRONICS,Autosensing,Cupboard dry,Condenser,305,2
WD75J5410AW,SAMSUNG ELECTRONICS,Autosensing,Cotton Dry & Spin,Condenser,165,2.5
WD856UHSAWQ,SAMSUNG ELECTRONICS,Autosensing,"Drying, Intensive Wash, 1200rpm",Condenser,290,1.5
