Model No,Brand,Control,Prog Name,Type,New CEC,New Star
SACD7,Smeg,Autosensing,Cottons-Extra Dry,Condenser,313,2
SACD8,Smeg,Autosensing,Cottons-Extra Dry,Condenser,350,2
SACD82,Smeg,Autosensing,"Cottons-Extra Dry, Dryness Level-Normal",Condenser,352,2
SAHP7,Smeg,Autosensing,Cottons-Extra Dry,Condenser,163,6
SAHP86,Smeg,Autosensing,"Cottons-Extra Dry, Dryness Level Normal",Condenser,139,6
SAWD612,Smeg,Timer,"Dry Program, 220 min, 1200 RPM",Condenser,134,2
SAWD814,Smeg,Timer,"Dry program, 220 min, 1400rpm",Condenser,147,3
SCD772,SMEG,Autosensing,Extra dry,Condenser,291,1.5
SCD777,SMEG,Autosensing,Extra dry,Condenser,291,1.5
SD727,SMEG,Timer,Used Once A Week,Condenser,294,1
SWD1600,SMEG,Timer,Cotton,Condenser,84,3.5
