Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ADEE8BWS433AW01,SPEED QUEEN,Autosensing,"Perm Press, Temp High, Dryness Dry",Vented,331,1.5
ADEE8RWS433AW01,SPEED QUEEN,Autosensing,"Perm Press, Temp High, Dryness Dry",Vented,331,1.5
ADEE9BSS433AN01,SPEED QUEEN,Autosensing,"Perm Press, Temp High, Dryness Dry",Vented,331,1.5
ADEE9RWS433AW01,SPEED QUEEN,Autosensing,"Perm Press, Temp High, Dryness Dry",Vented,331,1.5
ATEE9AWP433AW01,SPEED QUEEN,Autosensing,"Perm Press, Temp High, Dryness Dry",Vented,331,1.5
LDE3TFGS431AW01,SPEED QUEEN,Autosensing,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",Vented,430,1.5
LDE3TRWS431AW01,SPEED QUEEN,Autosensing,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",Vented,430,1.5
LDEE5BGS433AW01,SPEED QUEEN,Autosensing,"Perm Press, Temp High, Dryness Dry",Vented,331,1.5
LDEE7RWS433AW01,SPEED QUEEN,Autosensing,"Perm Press, Temp High, Dryness Dry",Vented,331,1.5
LES37AWF4350,SPEED QUEEN,Autosensing,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",Vented,430,1.5
LTE50FSP431AW01,SPEED QUEEN,Autosensing,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",Vented,430,1.5
LTE50FSP431AW12,SPEED QUEEN,Autosensing,"Automatic Regular/Delicate energy saver, Fabric selector on Perm Press/Regular",Vented,430,1.5
LTEE5ASP433AW01,SPEED QUEEN,Autosensing,"Perm Press, Temp High, Dryness Dry",Vented,331,1.5
LTEE5ASP433AW12,SPEED QUEEN,Autosensing,"Perm Press, Temp High, Dryness Dry",Vented,331,1.5
