Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ADS9D 297,ARISTON,Cold,,Front,295,4
AQ104D 69D AUS,Ariston,Cold,,Front,289,4.5
AQ82 Series,Ariston,Cold,,Front,297,4
AQ94F 49D AUS,Ariston,Cold,,Front,256,4.5
AQ9D49 U/V,Ariston,Cold,Drum,Front,490,3
AQ9D49 UH/V,Ariston,Cold,Drum,Front,490,3
AQ9F 29 U.1/V,ARISTON,Cold,,Front,295,4
AQ9F 29 U/V,ARISTON,Cold,,Front,295,4
AQ9L 29 U,ARISTON,Cold,,Front,295,4
AQ9L 29 U.1,ARISTON,Cold,,Front,295,4
AQD1071D 69ID AUS,ARISTON,Cold,,Front,289,4.5
ARF 105 AUS.M,ARISTON,Cold,,Front,573,2
ARMF125 (AUS),Ariston,Cold,,Front,544,2.5
ARMF125 (AUS)1,Ariston,Cold,,Front,544,2.5
WDG 8629B AUS,ARISTON,Cold,,Front,306,4
WDL 8629B AUS,ARISTON,Cold,,Front,306,4
WMF 729B,ARISTON,Cold,,Front,256,4
WMG 829 B,Ariston,Cold,,Front,306,4
