Model No,Brand,Control,Prog Name,Type,New CEC,New Star
W6444,ASKO,Cold,Drum,Front,180,5
W6444,ASKO,Cold,Drum,Front,180,5
W6444,ASKO,Cold,Drum,Front,180,5
W6564,ASKO,Cold,Drum,Front,180,5
W6564,ASKO,Cold,Drum,Front,180,5
W6564,ASKO,Cold,Drum,Front,180,5
W6864,ASKO,Cold,,Front,260,4.5
W6884,ASKO,Cold,Drum,Front,180,5
W6884,ASKO,Cold,Drum,Front,180,5
W6884,ASKO,Cold,Drum,Front,180,5
W6888,ASKO,Cold,Drum,Front,180,5
W6984,ASKO,Cold,Drum,Front,180,5
W6984,ASKO,Cold,Drum,Front,180,5
W6984,ASKO,Cold,Drum,Front,180,5
W8844 XL,ASKO,Cold,,Front,254,5
WMC64P,ASKO,Cold,Drum,Front,250,4
WMC64V,ASKO,Cold,Drum,Front,250,4
WMC84,ASKO,Cold,,Front,370,4
